time,currents servo1
0,0
0.0324988,0
0.1599909,18.83
0.2720777,13.45
0.3998524,13.45
0.5128403,16.14
0.6236218,13.45
0.7357846,16.14
0.8476776,13.45
0.9597673,13.45
1.08781,13.45
1.215572,13.45
1.343572,13.45
1.455556,13.45
1.583675,13.45
1.6955,13.45
1.823443,13.45
1.951567,13.45
2.079417,13.45
2.19139,10.76
2.303409,13.45
2.415344,13.45
2.527442,13.45
2.639369,13.45
2.767372,10.76
2.879344,13.45
2.991372,13.45
3.119528,13.45
3.231481,13.45
3.343383,10.76
3.471329,13.45
3.583448,10.76
3.711341,10.76
3.823676,10.76
3.93558,10.76
4.06352,10.76
4.175712,10.76
4.303399,10.76
4.431588,13.45
4.55955,13.45
4.687616,10.76
4.799615,10.76
4.911685,10.76
5.039493,10.76
5.167609,10.76
5.27941,75.32
5.391353,158.71
5.503337,228.65
5.615256,279.76
5.727407,376.6
5.855469,468.06
5.983316,538
6.111357,581.04
6.239076,659.05
6.351225,691.33
6.463245,734.37
6.57515,683.26
6.687082,702.09
6.799217,661.74
6.911392,688.64
7.023155,763.96
7.151135,710.16
7.279318,680.57
7.407005,694.02
7.535319,629.46
7.64699,750.51
7.759248,667.12
7.871293,715.54
7.983282,696.71
8.095307,621.39
8.223119,685.95
8.335249,661.74
8.447315,755.89
8.559239,661.74
8.671277,648.29
8.783207,702.09
8.895196,688.64
9.007208,769.34
9.119203,659.05
9.231159,723.61
9.342926,688.64
9.455043,667.12
9.567135,747.82
9.695162,836.59
9.822969,637.53
9.951087,710.16
10.07904,677.88
10.19108,777.41
10.30309,702.09
10.41507,669.81
10.52744,685.95
10.63891,640.22
10.75082,691.33
10.87899,731.68
10.99094,707.47
11.10292,653.67
11.21484,653.67
11.34301,726.3
11.4709,694.02
11.72713,731.68
11.83912,734.37
11.95101,737.06
12.06291,737.06
12.19133,737.06
12.31889,737.06
12.44694,737.06
12.57495,734.37
12.70301,734.37
12.81488,734.37
12.92693,734.37
13.03877,731.68
13.15081,731.68
13.26286,731.68
13.37488,731.68
13.48684,731.68
13.59884,731.68
13.71091,728.99
13.82275,728.99
13.95071,728.99
14.07877,728.99
14.2068,728.99
14.33477,728.99
14.44677,726.3
14.55863,726.3
14.67053,726.3
14.78254,726.3
14.89481,726.3
15.00672,726.3
15.13484,726.3
15.26278,726.3
15.39075,726.3
15.50278,723.61
15.61472,723.61
15.72674,723.61
15.83863,723.61
15.96673,723.61
16.09481,723.61
16.22276,720.92
16.3507,720.92
16.46269,720.92
16.57452,720.92
16.68653,720.92
16.79858,720.92
16.91063,720.92
17.02236,720.92
17.13458,720.92
17.26266,720.92
17.37458,720.92
17.50244,720.92
17.61447,720.92
17.72658,720.92
17.83849,718.23
17.9667,718.23
18.07842,718.23
18.19062,718.23
18.30261,718.23
18.43057,718.23
18.54247,718.23
18.67066,718.23
18.78236,718.23
18.89448,718.23
19.00647,718.23
19.11835,718.23
19.23037,715.54
19.35851,715.54
19.47033,715.54
19.58234,715.54
19.69435,715.54
19.8224,715.54
19.93441,715.54
20.04644,715.54
20.15845,715.54
20.27039,715.54
20.3824,715.54
20.51053,715.54
20.63854,715.54
20.75038,715.54
20.86236,715.54
20.97434,715.54
21.08633,715.54
21.19838,715.54
21.31031,715.54
21.42219,715.54
21.55021,715.54
21.66219,712.85
21.77425,712.85
21.90221,712.85
22.01425,712.85
22.12626,712.85
22.23827,712.85
22.35028,712.85
22.46218,712.85
22.57423,712.85
22.68626,712.85
22.81417,712.85
22.92606,712.85
23.03819,712.85
23.15019,710.16
23.26208,710.16
23.51835,710.16
23.64621,599.87
23.77431,497.65
23.8864,398.12
23.99875,309.35
24.12622,247.48
24.23795,314.73
24.35007,314.73
24.46202,303.97
24.57402,338.94
24.68603,263.62
24.79817,312.04
24.92619,322.8
25.05423,303.97
25.166,263.62
25.27814,301.28
25.38997,274.38
25.51812,328.18
25.63023,336.25
25.74216,285.14
25.85404,309.35
25.96612,320.11
26.07802,320.11
26.19002,312.04
26.31803,322.8
26.44594,282.45
26.55813,312.04
26.67003,338.94
26.78197,312.04
26.91022,244.79
27.03799,320.11
27.15005,301.28
27.26201,306.66
27.37389,328.18
27.50206,269
27.61397,314.73
27.72603,325.49
27.85403,301.28
27.96596,298.59
28.07798,320.11
28.19003,279.76
28.30185,314.73
28.43009,333.56
28.54191,298.59
28.6539,282.45
28.76588,298.59
28.87763,293.21
29.00583,207.13
29.11775,123.74
29.22984,64.56
29.34181,8.07
29.45361,-8.07
29.56567,-5.38
29.69362,-5.38
29.80561,-5.38
29.91752,-8.07
30.04557,-10.76
30.17364,-8.07
30.28559,-5.38
30.41389,-10.76
30.52566,-10.76
30.63781,-10.76
30.74974,-10.76
30.87783,-8.07
30.98968,-8.07
31.10184,-10.76
31.2137,-10.76
31.32574,-8.07
31.45353,-10.76
31.58171,-10.76
31.69375,-10.76
31.8055,-13.45
31.91741,-10.76
32.02951,-8.07
32.14153,-13.45
32.25366,-10.76
32.36553,-13.45
32.47765,-10.76
32.58951,-8.07
32.70162,-13.45
32.81369,-10.76
32.9256,-10.76
33.0375,-13.45
33.1495,-10.76
33.26141,-10.76
33.37342,-13.45
33.48562,-13.45
33.61365,-10.76
33.7258,-13.45
33.83778,-10.76
33.96568,-10.76
34.07774,-13.45
34.20535,-10.76
34.33367,-10.76
34.44567,-13.45
34.5576,-13.45
34.66957,-13.45
34.7816,-10.76
34.90962,-10.76
35.03763,-13.45
35.14926,-16.14
