time,currents servo1
0,0
0.031519,0
0.1434228,99.53
0.2550897,182.92
0.3671153,287.83
0.4791861,387.36
0.5907146,478.82
0.7029231,554.14
0.8310286,648.29
0.9590725,731.68
1.071272,680.57
1.182843,650.98
1.295127,613.32
1.40688,680.57
1.519115,718.23
1.647068,661.74
1.775084,632.15
1.90292,710.16
2.03082,664.43
2.142763,618.7
2.255055,645.6
2.36668,731.68
2.494581,656.36
2.606889,624.08
2.718693,675.19
2.83057,699.4
2.942707,680.57
3.054794,642.91
3.167334,704.78
3.278872,669.81
3.39063,667.12
3.502748,640.22
3.614971,688.64
3.726745,672.5
3.83899,659.05
3.950873,653.67
4.062837,726.3
4.174773,685.95
4.286739,653.67
4.415031,667.12
4.526988,761.27
4.638783,677.88
4.766932,642.91
4.896414,726.3
5.006737,661.74
5.134777,656.36
5.262856,648.29
5.374412,659.05
5.486686,688.64
5.614743,645.6
5.726803,672.5
5.838451,696.71
5.950646,677.88
6.062727,634.84
6.174644,659.05
6.30284,688.64
6.430346,723.61
6.558354,634.84
6.670278,728.99
6.782406,672.5
6.894585,704.78
7.006595,645.6
7.118537,699.4
7.230502,699.4
7.342523,683.26
7.454465,642.91
7.566175,675.19
7.67842,672.5
7.79034,653.67
7.918478,653.67
8.046937,780.1
8.158524,677.88
8.270381,650.98
8.382375,667.12
8.494413,677.88
8.60622,696.71
8.734279,637.53
8.862225,683.26
8.990708,753.2
9.102877,685.95
9.21451,640.22
9.326754,696.71
9.438599,715.54
9.566657,650.98
9.694237,656.36
9.822366,755.89
9.95064,677.88
10.06239,669.81
10.17455,734.37
10.28655,758.58
10.3986,734.37
10.511,669.81
10.62229,726.3
10.73466,745.13
10.84677,694.02
10.95841,653.67
11.07063,715.54
11.19904,707.47
11.32646,667.12
11.56651,704.78
11.69456,685.95
11.80636,691.33
11.91833,691.33
12.03116,691.33
12.14268,691.33
12.25465,691.33
12.36672,691.33
12.47848,691.33
12.60625,691.33
12.73455,691.33
12.86292,691.33
12.97446,691.33
13.08644,691.33
13.19903,691.33
13.32661,691.33
13.43816,691.33
13.55028,691.33
13.66218,691.33
13.77409,688.64
13.88595,688.64
13.99818,688.64
14.1101,688.64
14.22206,688.64
14.35075,688.64
14.47875,688.64
14.60612,688.64
14.73394,688.64
14.84619,688.64
14.95814,688.64
15.07007,688.64
15.18203,688.64
15.29426,688.64
15.4061,685.95
15.5179,685.95
15.64601,685.95
15.75798,685.95
15.88664,685.95
15.99799,685.95
16.11013,685.95
16.222,685.95
16.33412,685.95
16.44607,685.95
16.5581,685.95
16.68593,685.95
16.81406,683.26
16.9258,683.26
17.03828,683.26
17.14993,683.26
17.26209,683.26
17.3741,683.26
17.50307,683.26
17.62988,683.26
17.7578,683.26
17.88598,683.26
18.01408,683.26
18.14198,683.26
18.27025,683.26
18.39788,683.26
18.51013,683.26
18.62172,683.26
18.73395,683.26
18.84604,683.26
18.95799,683.26
19.08586,680.57
19.21412,680.57
19.34195,680.57
19.47011,680.57
19.58189,680.57
19.69408,680.57
19.80576,680.57
19.918,680.57
20.03002,680.57
20.14223,680.57
20.25376,680.57
20.3819,680.57
20.51015,680.57
20.6219,680.57
20.74962,680.57
20.87824,680.57
20.98955,680.57
21.10223,680.57
21.23012,680.57
21.34215,680.57
21.45356,680.57
21.58164,680.57
21.69367,680.57
21.80572,680.57
21.91766,680.57
22.02958,677.88
22.14168,677.88
22.25361,677.88
22.38168,677.88
22.5095,677.88
22.63771,677.88
22.74961,677.88
22.86184,677.88
22.9736,677.88
23.08571,677.88
23.21364,677.88
23.47022,677.88
23.58164,524.55
23.69388,398.12
23.80566,271.69
23.93559,274.38
24.06158,322.8
24.17365,306.66
24.2858,301.28
24.39756,314.73
24.5255,330.87
24.63749,301.28
24.74956,293.21
24.86152,317.42
24.97373,285.14
25.08572,295.9
25.19753,314.73
25.30956,330.87
25.43749,303.97
25.56553,309.35
25.69385,325.49
25.82162,317.42
25.94993,301.28
26.07759,320.11
26.20577,298.59
26.33366,309.35
26.44583,322.8
26.55793,325.49
26.66929,322.8
26.7813,309.35
26.89385,328.18
27.00535,317.42
27.13352,295.9
27.26164,309.35
27.38923,328.18
27.51738,287.83
27.62952,301.28
27.74182,314.73
27.85306,290.52
27.96567,314.73
28.07786,328.18
28.18935,325.49
28.31721,298.59
28.44605,303.97
28.55776,322.8
28.66943,306.66
28.7972,306.66
28.90967,330.87
29.02167,325.49
29.14965,298.59
29.27753,317.42
29.40514,328.18
29.53334,306.66
29.64564,301.28
29.75741,325.49
29.86938,301.28
29.98098,298.59
30.0936,317.42
30.20516,330.87
30.31742,301.28
30.44509,312.04
30.57304,336.25
30.70174,306.66
30.82987,317.42
30.95758,328.18
31.08492,293.21
31.19699,306.66
31.30883,317.42
31.42091,328.18
31.53287,314.73
31.64504,314.73
31.75705,336.25
31.86931,320.11
31.99716,303.97
32.1091,320.11
32.23714,330.87
32.36529,279.76
32.4936,295.9
32.60514,328.18
32.71708,290.52
32.82928,322.8
32.94163,336.25
33.0532,322.8
33.16519,320.11
33.27711,306.66
33.389,328.18
33.50071,312.04
33.6133,287.83
33.72523,295.9
33.83699,174.85
33.96528,69.94
34.09321,0
34.22227,-2.69
34.34944,-2.69
34.46129,-5.38
34.57328,-8.07
34.68474,-5.38
34.79659,-5.38
34.92532,-5.38
35.03685,-8.07
35.14875,-5.38
35.26133,-5.38
