time,currents servo1
0,0
0.0318283,0
0.144099,-21.52
0.256043,-18.83
0.367911,-21.52
0.480022,-21.52
0.591766,-21.52
0.703894,-21.52
0.816049,-21.52
0.928155,-21.52
1.04025,-21.52
1.15161,-24.21
1.26445,-24.21
1.37607,-21.52
1.48789,-24.21
1.59981,-24.21
1.71167,-24.21
1.82377,-24.21
1.93611,-24.21
2.0484,-26.9
2.15997,-24.21
2.27199,-24.21
2.38407,-26.9
2.49564,-26.9
2.60749,-24.21
2.71983,-24.21
2.83186,-24.21
2.94395,-24.21
3.05579,-24.21
3.16803,-24.21
3.27962,-24.21
3.39176,-21.52
3.50399,-21.52
3.61558,-24.21
3.72792,-21.52
3.83962,-21.52
3.95179,-24.21
4.06403,-24.21
4.17561,-24.21
4.28797,-21.52
4.39947,-24.21
4.51142,-21.52
4.62345,-21.52
4.7362,-21.52
4.84847,-21.52
4.95967,-18.83
5.07195,-18.83
5.1994,-21.52
5.32751,-21.52
5.45567,-18.83
5.5837,-18.83
5.71178,-18.83
5.83996,-16.14
5.96785,-16.14
6.09589,-18.83
6.22396,-16.14
6.35177,-16.14
6.47943,-18.83
6.60808,-16.14
6.73538,-18.83
6.86338,-18.83
6.99131,-16.14
7.11998,-16.14
7.24732,-16.14
7.37545,-16.14
7.50358,-16.14
7.63129,-16.14
7.75948,-16.14
7.8879,-16.14
8.01577,-16.14
8.14332,-16.14
8.27158,-13.45
8.39913,-13.45
8.52779,-16.14
8.65565,-16.14
8.78349,-16.14
8.91154,-16.14
9.03931,-16.14
9.16774,-13.45
9.29537,-13.45
9.42425,-13.45
9.55162,-10.76
9.67942,-13.45
9.80721,-13.45
9.93584,-10.76
10.0632,-10.76
10.1912,-13.45
10.3037,-10.76
10.4152,-10.76
10.527,-10.76
10.639,-10.76
10.751,-10.76
10.863,-10.76
10.975,-10.76
11.0876,-10.76
11.1994,-10.76
11.3115,-13.45
11.4234,-10.76
11.5349,-10.76
11.7749,-10.76
11.8869,-8.07
11.9989,-8.07
12.1124,-8.07
12.2231,-8.07
12.3351,-10.76
12.447,-10.76
12.5589,-10.76
12.6711,-10.76
12.7832,-8.07
12.8955,-8.07
13.0071,-10.76
13.1196,-10.76
13.2317,-10.76
13.3438,-10.76
13.4557,-10.76
13.5676,-10.76
13.6796,-10.76
13.7916,-10.76
13.9028,-10.76
14.015,-10.76
14.1271,-10.76
14.2397,-10.76
14.3516,-10.76
14.4629,-10.76
14.5752,-10.76
14.687,-10.76
14.799,-10.76
14.9108,-10.76
15.0232,-10.76
15.1351,-10.76
15.2471,-10.76
15.3591,-8.07
15.4709,-8.07
15.5827,-8.07
15.7112,-8.07
15.8388,-8.07
15.9668,-8.07
16.0962,-8.07
16.2231,-8.07
16.3509,-8.07
16.4787,-8.07
16.6072,-8.07
16.7349,-8.07
16.8629,-8.07
16.9914,-8.07
17.1189,-8.07
17.247,-8.07
17.3752,-8.07
17.503,-8.07
17.631,-8.07
17.7588,-8.07
17.8874,-8.07
18.0151,-8.07
18.1427,-8.07
18.271,-8.07
18.3986,-8.07
18.5266,-8.07
18.6552,-8.07
18.783,-8.07
18.9109,-8.07
19.0386,-8.07
19.1669,-8.07
19.2945,-10.76
19.423,-10.76
19.5509,-8.07
19.6785,-8.07
19.8067,-8.07
19.9344,-8.07
20.0624,-8.07
20.1908,-8.07
20.3188,-8.07
20.447,-8.07
20.5749,-8.07
20.7027,-8.07
20.8308,-8.07
20.9585,-8.07
21.0866,-8.07
21.1984,-8.07
21.3102,-8.07
21.4224,-8.07
21.5347,-8.07
21.6468,-8.07
21.7587,-8.07
21.8707,-8.07
21.9825,-8.07
22.1104,-8.07
22.2388,-8.07
22.3666,-8.07
22.4946,-8.07
22.6066,-8.07
22.7343,-8.07
22.8624,-8.07
22.9907,-8.07
23.1186,-8.07
23.2463,-8.07
23.3745,-8.07
23.5027,-8.07
23.6303,-8.07
23.7589,-8.07
24.0302,-8.07
24.1585,16.14
24.2869,10.76
24.4143,13.45
24.5426,13.45
24.6706,16.14
24.7985,10.76
24.9264,10.76
25.0543,13.45
25.1824,13.45
25.3105,13.45
25.4382,13.45
25.5663,13.45
25.6947,13.45
25.8228,13.45
25.9504,13.45
26.0782,13.45
26.2064,13.45
26.3344,16.14
26.4623,16.14
26.5904,16.14
26.7181,16.14
26.8461,18.83
26.9745,18.83
27.1024,18.83
27.2305,16.14
27.3586,18.83
27.4864,18.83
27.6143,21.52
27.7424,18.83
27.8704,18.83
27.9984,18.83
28.1262,21.52
28.2544,18.83
28.3821,21.52
28.5104,21.52
28.6384,21.52
28.7664,21.52
28.8945,21.52
29.0224,21.52
29.1503,21.52
29.2781,24.21
29.4065,24.21
29.5342,21.52
29.6619,24.21
29.7902,24.21
29.9184,24.21
30.0463,24.21
30.1744,24.21
30.3022,26.9
30.4304,24.21
30.5582,24.21
30.686,24.21
30.814,24.21
30.9423,24.21
31.0703,26.9
31.1823,26.9
31.2945,24.21
31.4061,26.9
31.5183,26.9
31.6301,26.9
31.7419,26.9
31.8541,26.9
31.9661,29.59
32.0781,26.9
32.1902,26.9
32.3021,29.59
32.4144,29.59
32.526,29.59
32.6376,26.9
32.7502,29.59
32.8618,29.59
32.9741,29.59
33.0862,29.59
33.1983,26.9
33.31,29.59
33.4221,26.9
33.5343,26.9
33.6456,29.59
33.7582,29.59
33.8698,29.59
33.9819,29.59
34.1105,29.59
34.2388,29.59
34.3659,29.59
34.4938,29.59
34.6215,29.59
34.7496,29.59
34.878,29.59
35.0057,29.59
35.1341,32.28
35.2617,32.28
35.3899,29.59
35.5178,29.59
35.6465,26.9
35.7741,26.9
35.9016,26.9
36.0295,26.9
36.1582,24.21
36.2859,24.21
36.4145,24.21
