time,currents servo1
0,0
0.0289238,0
0.155083,-10.76
0.283116,-10.76
0.411,-10.76
0.523182,-10.76
0.635771,-13.45
0.747725,-13.45
0.859545,-13.45
0.97152,-10.76
1.08342,-13.45
1.19545,-13.45
1.30743,-13.45
1.43539,-13.45
1.56355,-16.14
1.69149,-16.14
1.81915,-16.14
1.9479,-18.83
2.07583,-18.83
2.20338,-18.83
2.31537,-18.83
2.42714,-21.52
2.53924,-18.83
2.6511,-18.83
2.76362,-21.52
2.87553,-21.52
3.00342,-21.52
3.13099,-21.52
3.25981,-24.21
3.38752,-21.52
3.515,-21.52
3.62768,-24.21
3.73943,-24.21
3.85146,-21.52
3.96325,-24.21
4.07496,-24.21
4.20307,-24.21
4.33108,-24.21
4.45946,-26.9
4.58755,-26.9
4.71493,-26.9
4.82754,-26.9
4.93939,-29.59
5.05128,-24.21
5.16378,-26.9
5.27533,-26.9
5.38711,-24.21
5.51528,-24.21
5.62744,-26.9
5.73924,-29.59
5.85114,-24.21
5.96306,-26.9
6.07495,-26.9
6.20319,-24.21
6.33079,-24.21
6.45915,-26.9
6.58734,-24.21
6.71478,-21.52
6.84322,-24.21
6.95546,-24.21
7.08339,-24.21
7.19473,-24.21
7.30739,-26.9
7.41917,-24.21
7.53098,-24.21
7.64321,-24.21
7.77143,-24.21
7.89872,-24.21
8.02739,-24.21
8.15518,-21.52
8.26696,-21.52
8.37943,-21.52
8.49127,-21.52
8.6034,-21.52
8.71483,-21.52
8.82719,-21.52
8.93851,-18.83
9.05125,-18.83
9.17873,-18.83
9.30653,-18.83
9.41893,-21.52
9.5311,-18.83
9.64274,-18.83
9.75525,-18.83
9.88247,-16.14
10.0108,-16.14
10.1393,-18.83
10.2509,-18.83
10.3633,-16.14
10.4911,-16.14
10.6034,-18.83
10.7147,-16.14
10.8272,-16.14
10.9551,-16.14
11.0827,-13.45
11.2111,-16.14
11.3389,-13.45
11.4665,-16.14
11.5792,-16.14
11.8204,-10.76
11.9468,-13.45
12.0591,-13.45
