time,currents servo1
0,0
0.0321497,0
0.144009,-24.21
0.255831,-24.21
0.367893,-24.21
0.479899,-21.52
0.591722,-24.21
0.703708,-24.21
0.815926,-24.21
0.927889,-24.21
1.0399,-24.21
1.15177,-24.21
1.27981,-21.52
1.39194,-21.52
1.50382,-24.21
1.61587,-21.52
1.72775,-21.52
1.83986,-21.52
1.95222,-21.52
2.06384,-21.52
2.1758,-21.52
2.28781,-24.21
2.39978,-21.52
2.52779,-18.83
2.63975,-21.52
2.75164,-21.52
2.86377,-18.83
2.97576,-18.83
3.08771,-21.52
3.19986,-21.52
3.31169,-18.83
3.42376,-18.83
3.53578,-21.52
3.6477,-18.83
3.75966,-18.83
3.87176,-18.83
3.98354,-16.14
4.09574,-16.14
4.22367,-16.14
4.3516,-18.83
4.47974,-16.14
4.60776,-16.14
4.73543,-16.14
4.86352,-16.14
4.99172,-16.14
5.11946,-16.14
5.24759,-16.14
5.37552,-16.14
5.5033,-16.14
5.63137,-16.14
5.75938,-16.14
5.88748,-18.83
6.01549,-16.14
6.14335,-16.14
6.27127,-16.14
6.39937,-16.14
6.52734,-13.45
6.65553,-13.45
6.78344,-16.14
6.91158,-13.45
7.03947,-13.45
7.16728,-13.45
7.27947,-13.45
7.39129,-13.45
7.5034,-13.45
7.61525,-13.45
7.7272,-10.76
7.8393,-10.76
7.96725,-13.45
8.09544,-10.76
8.22373,-10.76
8.35174,-10.76
8.47965,-10.76
8.60787,-10.76
8.73553,-10.76
8.86349,-10.76
8.99121,-10.76
9.11956,-10.76
9.24729,-10.76
9.3754,-8.07
9.5034,-10.76
9.63114,-13.45
9.75907,-10.76
9.87105,-8.07
9.98299,-10.76
10.0954,-8.07
10.2073,-8.07
10.3193,-10.76
10.4313,-10.76
10.5431,-8.07
10.6551,-8.07
10.7673,-8.07
10.8792,-8.07
10.9911,-8.07
11.103,-10.76
11.2151,-10.76
11.327,-8.07
11.439,-8.07
11.5512,-8.07
11.7911,-8.07
11.9031,-8.07
12.0149,-10.76
12.1272,-10.76
12.2392,-13.45
12.3511,-13.45
12.4631,-13.45
12.5752,-13.45
12.687,-13.45
12.7991,-13.45
12.911,-13.45
13.0229,-13.45
13.1351,-10.76
13.2471,-10.76
13.3591,-10.76
13.471,-10.76
13.583,-10.76
13.6951,-10.76
13.823,-10.76
13.9509,-10.76
14.079,-10.76
14.2069,-10.76
14.3352,-10.76
14.463,-10.76
14.5911,-10.76
14.719,-10.76
14.847,-10.76
14.975,-10.76
15.1031,-10.76
15.2309,-10.76
15.3591,-10.76
15.4871,-10.76
15.5992,-10.76
15.711,-10.76
15.8231,-10.76
15.935,-10.76
16.047,-10.76
16.159,-10.76
16.2707,-10.76
16.3828,-10.76
16.4948,-10.76
16.6069,-10.76
16.719,-10.76
16.831,-10.76
16.9429,-10.76
17.0549,-10.76
17.1667,-10.76
17.2789,-10.76
17.3909,-10.76
17.503,-10.76
17.6147,-10.76
17.727,-10.76
17.8388,-10.76
17.9508,-10.76
18.0628,-10.76
18.1747,-10.76
