time,currents servo1
0,0
0.0319881,0
0.157458,-5.38
0.26913,-5.38
0.380638,-8.07
0.498814,-8.07
0.604452,-5.38
0.715775,-8.07
0.843643,-8.07
0.971743,-8.07
1.08369,-8.07
1.19572,-10.76
1.30767,-10.76
1.41961,-8.07
1.53163,-10.76
1.6438,-10.76
1.75579,-10.76
1.86788,-10.76
1.9798,-13.45
2.10773,-13.45
2.23561,-10.76
2.34752,-13.45
2.4596,-16.14
2.57157,-13.45
2.69949,-13.45
2.82753,-13.45
2.95553,-13.45
3.08351,-13.45
3.19552,-16.14
3.32354,-18.83
3.45145,-16.14
3.56347,-16.14
3.67557,-16.14
3.80345,-18.83
3.91542,-18.83
4.0275,-21.52
4.13942,-21.52
4.25152,-18.83
4.37956,-18.83
4.50735,-18.83
4.63534,-21.52
4.76341,-18.83
4.87558,-21.52
4.98742,-24.21
5.09948,-21.52
5.21133,-21.52
5.32339,-21.52
5.43545,-21.52
5.54738,-21.52
5.67565,-24.21
5.80339,-24.21
5.91555,-21.52
6.04343,-24.21
6.17124,-26.9
6.29951,-21.52
6.4115,-21.52
6.52335,-24.21
6.63533,-24.21
6.74757,-21.52
6.85965,-24.21
6.97177,-24.21
7.08365,-21.52
7.19591,-21.52
7.30721,-21.52
7.41919,-21.52
7.53123,-18.83
7.64324,-18.83
7.75531,-24.21
7.86716,-21.52
7.97917,-18.83
8.0912,-21.52
8.20325,-21.52
8.31516,-18.83
8.42724,-18.83
8.55526,-21.52
8.68314,-18.83
8.79521,-16.14
8.90723,-21.52
9.01917,-21.52
9.13105,-18.83
9.24306,-18.83
9.3553,-18.83
9.46725,-18.83
9.57905,-16.14
9.69114,-16.14
9.80308,-18.83
9.91505,-16.14
10.0431,-16.14
10.155,-16.14
10.267,-16.14
10.379,-13.45
10.4911,-16.14
10.6031,-16.14
10.7152,-16.14
10.8271,-16.14
10.9394,-16.14
11.0511,-16.14
11.179,-13.45
11.3073,-13.45
11.5797,-13.45
11.6913,-13.45
11.8031,-8.07
11.9152,-8.07
12.0275,-8.07
12.155,-8.07
12.283,-8.07
12.3949,-8.07
12.507,-8.07
12.6193,-8.07
12.7474,-8.07
12.875,-8.07
12.9869,-8.07
13.0989,-8.07
13.2108,-8.07
13.3391,-8.07
13.451,-8.07
13.5629,-8.07
13.6909,-8.07
13.8028,-8.07
13.9312,-8.07
14.0428,-8.07
14.155,-8.07
14.2669,-8.07
14.3788,-8.07
14.4914,-8.07
14.6189,-8.07
14.7468,-8.07
14.8748,-8.07
14.9867,-8.07
15.0988,-8.07
15.211,-8.07
15.3228,-8.07
15.4348,-8.07
15.5467,-8.07
15.6587,-8.07
15.7867,-8.07
15.9148,-8.07
16.0267,-8.07
16.1387,-8.07
16.2508,-8.07
16.3786,-8.07
16.5069,-8.07
16.6348,-8.07
16.7466,-8.07
16.8587,-8.07
16.9866,-8.07
17.0986,-8.07
17.2109,-8.07
17.3227,-8.07
17.4345,-8.07
17.5466,-8.07
17.6585,-8.07
17.7865,-8.07
17.8987,-8.07
18.0105,-8.07
18.1385,-8.07
18.2505,-8.07
18.3784,-8.07
18.4906,-8.07
18.6185,-8.07
18.7464,-8.07
18.8745,-8.07
18.9864,-8.07
19.0986,-8.07
19.2264,-8.07
19.3385,-8.07
19.4504,-8.07
19.5624,-8.07
19.6744,-8.07
19.8024,-8.07
19.9304,-8.07
20.0584,-8.07
20.1704,-8.07
20.2823,-8.07
20.3943,-8.07
20.5063,-8.07
20.6184,-8.07
20.7303,-8.07
20.8426,-8.07
20.9544,-8.07
21.0664,-8.07
21.1943,-8.07
21.3223,-8.07
21.4343,-8.07
21.5624,-8.07
21.6903,-8.07
21.8023,-8.07
21.9142,-8.07
22.0423,-8.07
22.1702,-8.07
22.2983,-8.07
22.4263,-8.07
22.5542,-8.07
22.6822,-8.07
22.7942,-8.07
22.9222,-8.07
23.0342,-8.07
23.1462,-8.07
23.2743,-8.07
23.5304,-8.07
23.6425,37.66
23.7543,29.59
23.8662,26.9
23.9951,26.9
24.1221,26.9
24.2501,26.9
24.3781,26.9
24.4902,29.59
24.6022,26.9
24.7141,29.59
24.8261,29.59
24.9381,26.9
25.05,29.59
25.1781,26.9
25.3061,26.9
25.434,29.59
25.562,29.59
25.69,26.9
25.802,29.59
25.9142,29.59
26.026,29.59
26.1381,29.59
26.25,32.28
26.3781,34.97
26.4902,34.97
26.6021,32.28
26.7139,32.28
26.826,32.28
26.9381,32.28
27.05,32.28
27.1779,34.97
27.3059,34.97
27.4179,32.28
27.5299,32.28
27.6579,34.97
27.7699,32.28
27.8821,32.28
27.9938,32.28
28.1059,32.28
28.2339,32.28
28.3459,32.28
28.4579,32.28
28.5699,32.28
28.6819,32.28
28.8098,32.28
28.938,32.28
29.0659,34.97
29.1938,32.28
29.3058,32.28
29.4179,34.97
29.5299,32.28
29.642,32.28
29.7698,32.28
29.8818,34.97
29.9938,34.97
30.1061,32.28
30.2181,34.97
30.3457,34.97
30.474,32.28
30.6018,32.28
30.7137,32.28
30.8416,32.28
30.9538,32.28
31.0657,32.28
31.1779,32.28
31.2898,32.28
31.4016,29.59
31.5138,29.59
31.6257,29.59
31.7538,26.9
31.866,29.59
31.9779,29.59
32.106,29.59
32.2337,26.9
32.3619,26.9
32.4897,26.9
32.6017,26.9
32.7296,24.21
32.8577,24.21
32.9696,24.21
33.0817,24.21
33.1935,24.21
33.3056,24.21
33.4175,21.52
33.5297,21.52
33.6416,18.83
33.7694,21.52
33.8977,21.52
34.0096,21.52
34.1217,21.52
34.2495,18.83
34.3774,18.83
34.5056,18.83
34.6176,18.83
34.7297,21.52
34.8575,18.83
34.9856,18.83
35.1134,18.83
35.2414,18.83
35.3535,16.14
