time,currents servo1
0,0
0.0500194,0
0.1741366,16.14
0.3021653,16.14
0.4140701,13.45
0.5260351,13.45
0.6380629,13.45
0.7500883,13.45
0.8620609,13.45
0.9740943,13.45
1.102138,13.45
1.230071,13.45
1.341983,10.76
1.454057,10.76
1.566016,8.07
1.678045,10.76
1.805869,10.76
1.934067,10.76
2.04601,10.76
2.158025,13.45
2.286088,10.76
2.39794,8.07
2.509928,10.76
2.637954,86.08
2.76584,215.2
2.877884,336.25
2.989757,468.06
3.10173,564.9
3.213741,664.43
3.325804,691.33
3.45375,648.29
3.581636,669.81
3.709701,637.53
3.821742,685.95
3.933938,696.71
4.045619,659.05
4.157941,632.15
4.269616,696.71
4.381657,726.3
4.493833,645.6
4.621838,667.12
4.749922,707.47
4.877889,648.29
5.005635,624.08
5.117704,683.26
5.229794,688.64
5.341657,680.57
5.453648,613.32
5.565645,694.02
5.677714,669.81
5.789783,664.43
5.901641,621.39
6.013529,726.3
6.125621,718.23
6.253658,648.29
6.381847,653.67
6.50954,675.19
6.637672,650.98
6.749495,621.39
6.861589,650.98
6.973669,675.19
7.085686,677.88
7.197673,645.6
7.309617,688.64
7.421707,656.36
7.53373,677.88
7.645517,629.46
7.757717,650.98
7.885432,677.88
8.013548,650.98
8.141472,694.02
8.253614,710.16
8.365636,688.64
8.4776,626.77
8.58956,677.88
8.701577,715.54
8.813571,680.57
8.925395,634.84
9.037536,685.95
9.165593,688.64
9.293513,659.05
9.421555,634.84
9.549528,645.6
9.67734,720.92
9.805357,650.98
9.917594,669.81
10.02935,739.75
10.14142,688.64
10.25356,637.53
10.3655,675.19
10.47753,691.33
10.58955,677.88
10.70143,637.53
10.81348,699.4
10.92537,680.57
11.0534,672.5
11.18144,637.53
11.3093,699.4
11.43729,694.02
11.7104,669.81
11.82131,688.64
11.93329,691.33
12.04534,691.33
12.15742,691.33
12.26935,691.33
12.38133,691.33
12.49327,691.33
12.6053,691.33
12.71745,688.64
12.84533,688.64
12.97325,688.64
13.10131,688.64
13.22922,688.64
13.34133,688.64
13.45337,688.64
13.56536,688.64
13.67727,685.95
13.78925,685.95
13.90117,685.95
14.01328,685.95
14.1252,685.95
14.23725,685.95
14.34925,685.95
14.47717,685.95
14.60519,685.95
14.73321,685.95
14.8609,683.26
14.98918,683.26
15.10118,683.26
15.21317,683.26
15.32527,683.26
15.43711,683.26
15.5491,683.26
15.66112,683.26
15.77308,683.26
15.88514,683.26
15.99705,683.26
16.10892,680.57
16.23707,680.57
16.36516,680.57
16.49304,680.57
16.62112,680.57
16.74906,680.57
16.86096,680.57
16.97305,680.57
17.08505,680.57
17.19697,680.57
17.30891,680.57
17.42105,680.57
17.53305,680.57
17.64496,680.57
17.75682,677.88
17.86898,677.88
17.99714,677.88
18.12486,677.88
18.25301,677.88
18.38087,677.88
18.50904,677.88
18.62101,677.88
18.73289,677.88
18.84473,677.88
18.95674,677.88
19.06896,677.88
19.18102,677.88
19.29287,677.88
19.40487,677.88
19.51682,677.88
19.62884,677.88
19.74083,675.19
19.86887,675.19
19.99679,675.19
20.12466,675.19
20.25266,675.19
20.36474,675.19
20.47676,675.19
20.5888,675.19
20.70083,675.19
20.8128,675.19
20.92472,675.19
21.03683,672.5
21.14881,672.5
21.26069,672.5
21.37263,672.5
21.50074,672.5
21.62863,672.5
21.75672,672.5
21.88517,672.5
22.01278,672.5
22.12466,672.5
22.23668,672.5
22.34871,672.5
22.46078,672.5
22.57251,672.5
22.68466,672.5
22.79684,672.5
22.90868,672.5
23.02056,672.5
23.13278,672.5
23.24465,672.5
23.48506,672.5
23.59659,527.24
23.70871,454.61
23.82057,269
23.93264,282.45
24.04449,322.8
24.15664,287.83
24.26862,290.52
24.38058,312.04
24.50867,317.42
24.63653,287.83
24.76452,309.35
24.89244,314.73
25.02053,287.83
25.14853,298.59
25.27644,320.11
25.40436,279.76
25.53251,301.28
25.66048,328.18
25.78843,290.52
25.91632,301.28
26.04433,325.49
26.17254,306.66
26.30048,298.59
26.41238,312.04
26.52441,303.97
26.63638,285.14
26.74839,309.35
26.86047,325.49
26.97251,301.28
27.08423,317.42
27.1965,322.8
27.30845,325.49
27.42041,287.83
27.53249,295.9
27.64442,309.35
27.75651,295.9
27.86843,303.97
27.98047,309.35
28.09237,317.42
28.20432,309.35
28.33247,320.11
28.46045,320.11
28.57227,328.18
28.70042,314.73
28.8284,333.56
28.95621,312.04
29.08424,317.42
29.21203,325.49
29.34014,325.49
29.45228,309.35
29.5644,322.8
29.67629,336.25
29.7882,312.04
29.90036,303.97
30.01219,320.11
30.12438,322.8
30.23632,282.45
30.34826,317.42
30.46043,322.8
30.5724,309.35
30.68408,312.04
30.79635,314.73
30.90848,328.18
31.02038,306.66
31.13209,285.14
31.24404,317.42
31.35626,330.87
31.46828,298.59
31.59625,301.28
31.72417,215.2
31.85212,86.08
31.9804,10.76
32.10951,-8.07
32.2361,-8.07
32.36408,-10.76
32.47593,-10.76
32.58819,-8.07
32.70007,-8.07
32.81217,-10.76
32.92439,-10.76
33.03615,-10.76
33.14795,-10.76
33.25995,-10.76
33.3721,-10.76
33.48402,-10.76
33.59611,-10.76
33.70812,-10.76
33.81994,-10.76
33.93197,-10.76
34.04395,-10.76
34.15604,-13.45
34.26807,-10.76
34.38,-10.76
34.49213,-10.76
34.60388,-10.76
34.71603,-10.76
34.84393,-10.76
34.95587,-13.45
35.06802,-13.45
35.19589,-10.76
