time,currents servo1,currents servo2
0,0,0
0,0,0
0.0456183,0,0
0.1558512,18.83,0
0.2679167,16.14,0
0.3961104,16.14,0
0.5262217,16.14,0
0.6518294,16.14,0
0.7638654,13.45,0
0.8908971,13.45,0
1.003715,13.45,0
1.115953,13.45,0
1.246348,13.45,0
1.355799,13.45,0
1.484252,102.22,0
1.596015,223.27,0
1.708227,338.94,0
1.836361,449.23,0
1.947838,505.72,0
2.05968,567.59,0
2.171952,632.15,0
2.284026,772.03,0
2.395882,677.88,0
2.50789,699.4,0
2.620037,618.7,0
2.747993,707.47,0
2.859786,694.02,0
2.987746,669.81,0
3.116259,634.84,0
3.2278,685.95,0
3.356178,731.68,0
3.467981,650.98,0
3.579755,626.77,0
3.707838,737.06,0
3.835868,683.26,0
3.94761,645.6,0
4.059781,659.05,0
4.187725,688.64,0
4.299961,667.12,0
4.427849,640.22,0
4.556035,742.44,0
4.6838,677.88,0
4.795832,626.77,0
4.923551,677.88,0
5.052286,696.71,0
5.180263,677.88,0
5.307551,642.91,0
5.419687,726.3,0
5.531804,702.09,0
5.643542,642.91,0
5.755616,659.05,0
5.867578,734.37,0
5.979933,667.12,0
6.092244,637.53,0
6.203687,637.53,0
6.331767,699.4,0
6.443756,696.71,0
6.572403,640.22,0
6.683584,653.67,0
6.795493,661.74,0
6.90743,704.78,0
7.019983,634.84,0
7.14762,707.47,0
7.275577,694.02,0
7.387684,659.05,0
7.499761,640.22,0
7.611917,731.68,0
7.739491,664.43,0
7.851752,669.81,0
7.97947,650.98,0
8.107304,683.26,0
8.219598,691.33,0
8.331652,621.39,0
8.443418,653.67,0
8.556297,685.95,0
8.683585,680.57,0
8.79541,626.77,0
8.907345,723.61,0
9.019517,685.95,0
9.131686,667.12,0
9.243509,637.53,0
9.355664,704.78,0
9.467376,704.78,0
9.59535,632.15,0
9.707312,632.15,0
9.819703,683.26,0
9.931379,704.78,0
10.04348,672.5,0
10.17163,661.74,0
10.28374,696.71,0
10.41161,672.5,0
10.53948,642.91,0
10.65171,653.67,0
10.76355,694.02,0
10.89155,672.5,0
11.00366,637.53,0
11.11524,712.85,0
11.22721,677.88,0
11.33926,661.74,0
11.62734,656.36,0
