time,currents servo1
0,0
0.0324826,196.37
0.1595118,640.22
0.2883223,653.67
0.4160749,653.67
0.5466835,675.19
0.6544371,607.94
0.7663203,258.24
0.878352,387.36
0.9903561,390.05
1.102395,390.05
1.215027,390.05
1.326724,390.05
1.454875,390.05
1.582191,390.05
1.694725,390.05
1.806726,387.36
1.918697,387.36
2.030844,387.36
2.142871,387.36
2.254562,390.05
2.366415,387.36
2.478794,387.36
2.590707,384.67
2.718566,384.67
2.846725,384.67
2.974832,387.36
3.102718,384.67
3.215225,384.67
3.342746,384.67
3.454614,387.36
3.566088,387.36
3.678396,387.36
3.790734,387.36
3.902055,384.67
4.014952,384.67
4.142844,384.67
4.270732,384.67
4.39947,384.67
4.527018,384.67
4.638281,384.67
4.75042,384.67
4.878703,384.67
4.990836,384.67
5.102535,384.67
5.215185,384.67
5.342963,384.67
5.454664,384.67
5.566117,384.67
5.678882,384.67
5.790153,384.67
5.918063,384.67
6.046862,384.67
6.174128,384.67
6.286867,384.67
6.414124,379.29
6.526066,381.98
6.637934,381.98
6.75054,381.98
6.862086,381.98
6.974556,381.98
7.086014,381.98
7.213966,381.98
7.34236,381.98
7.454387,381.98
7.566496,381.98
7.694807,381.98
7.806701,381.98
7.918044,379.29
8.045965,379.29
8.174674,381.98
8.302022,381.98
8.430059,381.98
8.542447,381.98
8.654575,381.98
8.765782,381.98
8.878644,381.98
8.990273,381.98
9.102385,381.98
9.213783,381.98
9.32666,381.98
9.437847,379.29
9.565743,381.98
9.693668,381.98
9.8218,381.98
9.949777,381.98
10.07765,379.29
10.20556,379.29
10.31766,379.29
10.43011,381.98
10.54185,381.98
10.65359,381.98
10.78212,381.98
10.90988,381.98
11.03763,381.98
11.16584,381.98
11.29408,381.98
11.406,381.98
11.51781,381.98
11.62961,381.98
