time,currents servo1
0,0
0.031121,0
0.1427631,610.63
0.2546988,578.35
0.3827682,621.39
0.5107591,589.11
0.6389647,597.18
0.7518131,344.32
0.8786916,406.19
0.9914599,406.19
1.102938,406.19
1.23097,406.19
1.343422,406.19
1.454925,406.19
1.567349,403.5
1.679478,403.5
1.791331,403.5
1.903593,403.5
2.015748,403.5
2.127699,403.5
2.238721,403.5
2.367209,403.5
2.495983,403.5
2.622875,403.5
2.751065,403.5
2.862919,398.12
2.974826,290.52
3.086699,80.7
3.215098,45.73
3.327303,0
3.454843,0
3.582763,0
3.71073,0
3.822784,0
3.935041,0
4.047149,45.73
4.159166,34.97
4.271021,53.8
4.398935,139.88
4.511068,193.68
4.638706,196.37
4.767246,196.37
4.879076,199.06
4.991096,199.06
5.103121,199.06
5.214712,196.37
5.326829,199.06
5.438947,199.06
5.550445,196.37
5.662545,199.06
5.79056,199.06
5.918764,196.37
6.046674,199.06
6.17474,196.37
6.303232,199.06
6.414895,199.06
6.526867,199.06
6.63849,199.06
6.750894,199.06
6.862894,199.06
6.974838,199.06
7.102951,199.06
7.230867,199.06
7.358859,199.06
7.470827,199.06
7.598258,199.06
7.710732,199.06
7.822296,201.75
7.934985,199.06
8.046804,199.06
8.158797,196.37
8.270505,199.06
8.398958,201.75
8.526707,199.06
8.638566,201.75
8.766727,199.06
8.878155,199.06
8.990468,199.06
9.118493,199.06
9.246731,201.75
9.374821,199.06
9.502877,196.37
9.614707,199.06
9.726718,199.06
9.838361,201.75
9.950315,199.06
10.06284,199.06
10.17432,196.37
10.28717,199.06
10.39839,196.37
10.51063,196.37
10.62206,199.06
10.73494,199.06
10.84683,201.75
10.95877,199.06
11.07072,199.06
11.18218,199.06
11.29473,196.37
11.4062,199.06
11.53468,199.06
