time,current servo2
0,0
0.031788,-333.56
0.1437723,-548.76
0.2573772,-677.88
0.3678858,-734.37
0.4798267,-750.51
0.5918761,-688.64
0.7037217,-763.96
0.8157606,-763.96
0.9278172,-712.85
1.039676,-675.19
1.152059,-715.54
1.263667,-763.96
1.376051,-726.3
1.488143,-685.95
1.600033,-780.1
1.712203,-742.44
1.823613,-702.09
1.936148,-731.68
2.048207,-753.2
2.16006,-745.13
2.271818,-691.33
2.383703,-728.99
2.496016,-790.86
2.607716,-739.75
2.720426,-726.3
2.831979,-772.03
2.943833,-747.82
3.057321,-696.71
3.168052,-728.99
3.279601,-761.27
3.391572,-720.92
3.504322,-715.54
3.616098,-772.03
3.72758,-753.2
3.840104,-715.54
3.95226,-737.06
4.064262,-745.13
4.176375,-731.68
4.28832,-680.57
4.399842,-710.16
4.511901,-750.51
4.641239,-704.78
4.768451,-710.16
4.895567,-772.03
5.024927,-723.61
5.151487,-672.5
5.279772,-715.54
5.408018,-742.44
5.536043,-683.26
5.664315,-723.61
5.792118,-750.51
5.919443,-680.57
6.047853,-723.61
6.176386,-739.75
6.304045,-707.47
6.432421,-710.16
6.559722,-739.75
6.687976,-715.54
6.816241,-707.47
6.943741,-777.41
7.071566,-742.44
7.200187,-718.23
7.328751,-726.3
7.455604,-763.96
7.583602,-712.85
7.711461,-739.75
7.840051,-763.96
7.967915,-712.85
8.095645,-734.37
8.224462,-742.44
8.351912,-715.54
8.484107,-728.99
8.607883,-745.13
8.736283,-710.16
8.864391,-683.26
8.991563,-755.89
9.119507,-715.54
9.247474,-680.57
9.375337,-769.34
9.503365,-731.68
9.631683,-694.02
9.759152,-747.82
9.888075,-742.44
10.01515,-685.95
10.14331,-718.23
10.25576,-774.72
10.38346,-726.3
10.51124,-702.09
10.63909,-758.58
10.76709,-737.06
10.89504,-712.85
11.02385,-763.96
11.15142,-745.13
11.27975,-718.23
11.39104,-766.65
11.50351,-766.65
11.63146,-712.85
11.74304,-753.2
12.01543,-755.89
12.12731,-710.16
12.23998,-712.85
12.35165,-712.85
12.46335,-712.85
12.59124,-712.85
12.71902,-712.85
12.8469,-712.85
12.97501,-712.85
13.10328,-712.85
13.23103,-712.85
13.34302,-712.85
13.45494,-712.85
13.56686,-712.85
13.67899,-712.85
13.79093,-712.85
13.90284,-712.85
14.01491,-712.85
14.12689,-712.85
14.23941,-712.85
14.35083,-712.85
14.46288,-712.85
14.57485,-712.85
14.68764,-712.85
14.81513,-712.85
14.94277,-712.85
15.05488,-712.85
15.16719,-712.85
15.27951,-712.85
15.40714,-712.85
15.51925,-712.85
15.64697,-712.85
15.77479,-712.85
15.90317,-712.85
16.03127,-712.85
16.15935,-712.85
16.28715,-712.85
16.41566,-712.85
16.54367,-712.85
16.67116,-712.85
16.79904,-712.85
16.92713,-712.85
17.05467,-712.85
17.18269,-712.85
17.29476,-712.85
17.4068,-710.16
17.5187,-710.16
17.63059,-710.16
17.7428,-710.16
17.85465,-710.16
18.11056,-710.16
18.2242,-575.66
18.33481,-459.99
18.44677,-347.01
18.55892,-269
18.67116,-320.11
18.78271,-282.45
18.89482,-303.97
19.00684,-333.56
19.11927,-312.04
19.23071,-293.21
19.34304,-312.04
19.45464,-317.42
19.56655,-298.59
19.67851,-312.04
19.79055,-320.11
19.90256,-325.49
20.01466,-309.35
20.12658,-306.66
20.23851,-320.11
20.3663,-328.18
20.47913,-317.42
20.59048,-306.66
20.70238,-314.73
20.81502,-317.42
20.94262,-285.14
21.07095,-303.97
21.19898,-328.18
21.32635,-347.01
21.43865,-317.42
21.55094,-320.11
21.66254,-330.87
21.7745,-333.56
21.88623,-309.35
21.99894,-328.18
22.11108,-347.01
22.22295,-333.56
22.35111,-295.9
22.47863,-320.11
22.60792,-328.18
22.73482,-279.76
22.86271,-295.9
22.97473,-338.94
23.08689,-328.18
23.19906,-298.59
23.31042,-317.42
23.42228,-314.73
23.5505,-295.9
23.67823,-293.21
23.80646,-312.04
24.07845,-287.83
24.20777,-298.59
24.33502,-295.9
24.46295,-295.9
24.59111,-295.9
24.71891,-295.9
24.84744,-295.9
24.9742,-295.9
25.10281,-295.9
25.23062,-295.9
25.3584,-295.9
25.4863,-295.9
25.61411,-295.9
25.74225,-295.9
25.87039,-295.9
25.99879,-295.9
26.12603,-295.9
26.25415,-295.9
26.38307,-295.9
26.51024,-295.9
26.63835,-295.9
26.76668,-295.9
26.89403,-295.9
27.02222,-295.9
27.13413,-295.9
27.24686,-295.9
27.37422,-295.9
27.48589,-295.9
27.59828,-295.9
27.72668,-295.9
27.85492,-295.9
27.96654,-295.9
28.0944,-295.9
28.22203,-295.9
28.35071,-295.9
28.47794,-295.9
28.60617,-295.9
28.73424,-295.9
28.8628,-295.9
28.9911,-295.9
29.11803,-295.9
29.24588,-295.9
29.37415,-295.9
29.50194,-295.9
29.61395,-295.9
29.72598,-295.9
29.83816,-295.9
29.9658,-295.9
30.09383,-295.9
30.2239,-295.9
30.49406,-295.9
30.62186,-293.21
30.73372,-341.63
30.84587,-328.18
30.95789,-312.04
31.07031,-317.42
31.1985,-330.87
31.31044,-295.9
31.42196,-312.04
31.53381,-320.11
31.64601,-336.25
31.77363,-314.73
31.88583,-314.73
31.99809,-325.49
32.11037,-320.11
32.22215,-298.59
32.33358,-322.8
32.44577,-328.18
32.5577,-320.11
32.67005,-290.52
32.78225,-314.73
32.89415,-322.8
33.00646,-330.87
33.11815,-314.73
33.23034,-314.73
33.3417,-330.87
33.45427,-303.97
33.56612,-309.35
33.67852,-317.42
33.79003,-328.18
33.90213,-317.42
34.01403,-306.66
34.12615,-303.97
34.2385,-317.42
34.34977,-303.97
34.47789,-312.04
34.60573,-320.11
34.73365,-320.11
34.86498,-287.83
34.99115,-306.66
35.11762,-306.66
35.24588,-285.14
35.37375,-320.11
35.5018,-306.66
35.63044,-325.49
35.75803,-287.83
35.88551,-298.59
36.01395,-320.11
36.14154,-282.45
36.26962,-320.11
36.3975,-320.11
