time,current servo4
0,0
0.031302,0
0.1433875,26.9
0.2555899,24.21
0.3836554,24.21
0.4957742,21.52
0.6077845,21.52
0.7193941,21.52
0.8314079,21.52
0.9433329,21.52
1.055065,21.52
1.167372,21.52
1.279636,21.52
1.39132,18.83
1.503403,18.83
1.615507,21.52
1.726985,21.52
1.839173,18.83
1.951138,18.83
2.063248,18.83
2.175284,18.83
2.287288,153.33
2.399284,271.69
2.511291,381.98
2.623241,492.27
2.735195,602.56
2.847208,704.78
2.95924,766.65
3.071153,707.47
3.183095,750.51
3.295142,696.71
3.407167,694.02
3.519162,747.82
3.631101,755.89
3.743141,683.26
3.85527,694.02
3.967257,755.89
4.095509,731.68
4.207268,707.47
4.319177,712.85
4.431413,715.54
4.542957,742.44
4.655178,688.64
4.767061,707.47
4.879338,739.75
4.991203,710.16
5.103123,669.81
5.21526,691.33
5.327078,758.58
5.439511,712.85
5.551386,702.09
5.663332,723.61
5.775068,739.75
5.887056,710.16
5.999012,685.95
6.111303,734.37
6.22322,750.51
6.334771,712.85
6.44693,685.95
6.55885,723.61
6.67095,726.3
6.783244,704.78
6.894927,677.88
7.007382,755.89
7.118891,734.37
7.230965,672.5
7.342733,691.33
7.454907,745.13
7.566901,728.99
7.694812,677.88
7.822943,696.71
7.950821,739.75
8.078772,696.71
8.207252,680.57
8.335282,739.75
8.463215,734.37
8.591499,683.26
8.719246,707.47
8.847239,723.61
8.975329,675.19
9.103225,702.09
9.231286,755.89
9.360691,710.16
9.486692,680.57
9.614649,715.54
9.742742,742.44
9.871312,688.64
9.998983,718.23
10.12732,774.72
10.25521,699.4
10.38271,680.57
10.51054,755.89
10.63872,710.16
10.76691,691.33
10.89519,707.47
11.02312,737.06
11.15104,696.71
11.27885,677.88
11.40712,747.82
11.67885,677.88
11.8071,691.33
11.93501,694.02
12.06287,694.02
12.19089,694.02
12.3186,694.02
12.4466,694.02
12.5762,694.02
12.70259,694.02
12.83058,694.02
12.95844,694.02
13.08691,694.02
13.21582,694.02
13.34327,694.02
13.47065,694.02
13.59911,694.02
13.72675,694.02
13.85533,694.02
13.98334,694.02
14.11065,694.02
14.23886,694.02
14.36716,694.02
14.49455,694.02
14.62278,694.02
14.75063,694.02
14.87825,694.02
15.00654,694.02
15.13496,694.02
15.26285,694.02
15.39054,694.02
15.51902,694.02
15.64686,694.02
15.77451,694.02
15.90282,694.02
16.03041,694.02
16.15855,691.33
16.28677,691.33
16.41436,691.33
16.54251,691.33
16.67083,691.33
16.79823,691.33
16.9273,691.33
17.05716,691.33
17.16641,691.33
17.27832,691.33
17.39065,691.33
17.51846,691.33
17.64629,691.33
17.75832,691.33
17.87062,691.33
18.14327,691.33
18.27045,532.62
18.3993,384.67
18.52604,282.45
18.65425,336.25
18.78241,306.66
18.91025,320.11
19.0381,325.49
19.16611,298.59
19.29416,330.87
19.42282,322.8
19.55007,309.35
19.67885,320.11
19.80686,317.42
19.93464,320.11
20.06281,306.66
20.18996,303.97
20.31809,333.56
20.4461,298.59
20.57407,328.18
20.70254,330.87
20.83003,279.76
20.95907,309.35
21.08605,320.11
21.2138,290.52
21.32583,301.28
21.43806,312.04
21.55005,320.11
21.66196,298.59
21.77403,320.11
21.88627,333.56
21.99824,290.52
22.10987,303.97
22.22197,303.97
22.33394,325.49
22.44595,290.52
22.5579,306.66
22.66992,317.42
22.79793,301.28
22.92572,314.73
23.05382,303.97
23.18186,293.21
23.30987,306.66
23.43794,312.04
23.56615,314.73
23.67797,303.97
23.78981,298.59
23.9017,322.8
24.01371,293.21
24.12574,317.42
24.36594,328.18
24.47817,336.25
24.59064,333.56
24.70184,333.56
24.81403,333.56
24.92591,333.56
25.03793,333.56
25.14977,333.56
25.262,333.56
25.37448,333.56
25.48587,333.56
25.59815,333.56
25.71,333.56
25.82209,333.56
25.93384,333.56
26.04616,333.56
26.15782,333.56
26.26991,333.56
26.38261,333.56
26.49402,333.56
26.60618,333.56
26.71802,333.56
26.82988,333.56
26.94364,333.56
27.0546,333.56
27.16623,333.56
27.27792,333.56
27.39013,333.56
27.50196,333.56
27.61437,333.56
27.72631,333.56
27.83791,333.56
27.94993,333.56
28.06187,333.56
28.17412,333.56
28.2857,333.56
28.39813,333.56
28.50948,333.56
28.62189,333.56
28.73376,333.56
28.84543,333.56
28.95765,333.56
29.06963,333.56
29.18162,333.56
29.29374,336.25
29.40586,336.25
29.51726,336.25
29.6457,336.25
29.77353,336.25
29.90181,336.25
30.1739,336.25
30.30168,309.35
30.42957,325.49
30.55741,330.87
30.6858,317.42
30.81384,322.8
30.94158,317.42
31.06933,312.04
31.19806,314.73
31.32689,312.04
31.45389,298.59
31.58198,309.35
31.71005,314.73
31.838,317.42
31.9656,317.42
32.09321,312.04
32.22177,328.18
32.34925,306.66
32.47732,312.04
32.60526,147.95
32.73368,32.28
32.86144,-21.52
32.98986,-16.14
33.11773,-16.14
33.2456,-18.83
33.37374,-16.14
33.486,-16.14
33.59748,-16.14
33.70921,-18.83
33.822,-18.83
33.93389,-18.83
34.04557,-18.83
34.15773,-18.83
34.26968,-18.83
34.38168,-18.83
34.49318,-21.52
34.60529,-18.83
34.71718,-18.83
34.84594,-18.83
34.95764,-18.83
35.06967,-16.14
35.18167,-16.14
35.29344,-18.83
35.4056,-18.83
35.51782,-18.83
35.62915,-18.83
35.74131,-18.83
35.85367,-18.83
35.9818,-16.14
36.0931,-16.14
36.20543,-16.14
