time,current servo4
0,0
0.031965,0
0.1598813,21.52
0.2878417,18.83
0.4158651,18.83
0.5441873,18.83
0.6719407,18.83
0.7997984,18.83
0.927913,16.14
1.055935,16.14
1.183797,16.14
1.31194,16.14
1.439893,16.14
1.567983,16.14
1.695851,16.14
1.823776,16.14
1.935742,16.14
2.047943,16.14
2.159854,16.14
2.271852,16.14
2.383742,18.83
2.495795,75.32
2.623811,215.2
2.735659,309.35
2.84779,416.95
2.959788,535.31
3.087729,634.84
3.215707,739.75
3.327734,731.68
3.43978,745.13
3.567729,696.71
3.695751,694.02
3.823791,747.82
3.935563,720.92
4.047744,696.71
4.159914,704.78
4.271724,755.89
4.3836,731.68
4.495671,688.64
4.607646,710.16
4.719828,718.23
4.831678,739.75
4.959715,688.64
5.087494,742.44
5.199625,755.89
5.311745,712.85
5.423715,691.33
5.535493,704.78
5.647652,755.89
5.759824,696.71
5.871456,694.02
5.983624,734.37
6.09558,718.23
6.20751,699.4
6.31961,685.95
6.431618,747.82
6.559546,774.72
6.687383,685.95
6.815391,688.64
6.943621,766.65
7.072154,710.16
7.199314,683.26
7.327428,758.58
7.455372,718.23
7.583306,669.81
7.711286,737.06
7.83922,723.61
7.967363,696.71
8.09546,696.71
8.223345,753.2
8.351474,715.54
8.479203,688.64
8.607269,731.68
8.719456,772.03
8.847357,694.02
8.959267,718.23
9.071581,769.34
9.183467,747.82
9.295393,694.02
9.407188,728.99
9.535215,763.96
9.647359,715.54
9.759127,704.78
9.871531,728.99
9.999276,788.17
10.12721,712.85
10.25541,715.54
10.36732,755.89
10.47927,753.2
10.59127,696.71
10.70329,688.64
10.81535,772.03
10.92721,742.44
11.03943,712.85
11.15145,712.85
11.26375,761.27
11.37526,742.44
11.48745,710.16
11.59921,707.47
11.83911,750.51
11.95097,605.25
12.06313,484.2
12.19121,341.63
12.31887,274.38
12.43098,314.73
12.5432,309.35
12.6551,317.42
12.76703,301.28
12.87906,312.04
12.99118,325.49
13.10329,330.87
13.23105,303.97
13.34304,317.42
13.45506,317.42
13.56697,295.9
13.6791,306.66
13.79112,309.35
13.90313,325.49
14.01513,306.66
14.12691,314.73
14.23879,328.18
14.3512,330.87
14.46322,301.28
14.57528,317.42
14.68729,330.87
14.81578,298.59
14.94287,312.04
15.07114,325.49
15.19889,290.52
15.32693,309.35
15.43955,317.42
15.56731,309.35
15.69523,312.04
15.807,309.35
15.91918,330.87
16.03096,301.28
16.14299,301.28
16.2554,325.49
16.38297,312.04
16.51141,322.8
16.63945,309.35
16.7681,301.28
16.89507,312.04
17.00693,317.42
17.11899,333.56
17.23118,317.42
17.34345,322.8
17.45515,330.87
17.58281,317.42
17.85474,322.8
17.98267,438.47
18.11069,575.66
18.2229,702.09
18.33497,782.79
18.4629,696.71
18.59089,737.06
18.71906,707.47
18.84666,694.02
18.95896,734.37
19.07092,763.96
19.19914,688.64
19.32717,718.23
19.43876,766.65
19.56724,718.23
19.69458,704.78
19.82311,750.51
19.95075,731.68
20.06302,702.09
20.17513,718.23
20.28693,763.96
20.39913,728.99
20.51111,675.19
20.62308,739.75
20.7346,758.58
20.84706,707.47
20.959,685.95
21.08679,707.47
21.19861,763.96
21.32742,712.85
21.45469,712.85
21.56734,766.65
21.69508,734.37
21.80656,704.78
21.91855,723.61
22.03079,734.37
22.14315,750.51
22.25473,694.02
22.36717,737.06
22.47892,753.2
22.59088,737.06
22.70329,683.26
22.8306,726.3
22.95857,796.24
23.08707,712.85
23.21502,691.33
23.3424,774.72
23.45467,728.99
23.58337,702.09
23.69493,734.37
23.93443,734.37
24.04697,599.87
24.15901,478.82
24.28712,392.74
24.41435,269
24.54311,303.97
24.67018,309.35
24.79887,325.49
24.92644,290.52
25.03912,312.04
25.16683,317.42
25.27912,306.66
25.39078,314.73
25.51841,312.04
25.64682,322.8
25.77472,306.66
25.88642,317.42
25.9982,336.25
26.11061,306.66
26.22282,328.18
26.33448,333.56
26.46303,336.25
26.59088,325.49
26.70204,322.8
26.83127,333.56
26.94272,301.28
27.05402,322.8
27.16713,320.11
27.27906,306.66
27.39063,301.28
27.5024,309.35
27.61503,325.49
27.72674,298.59
27.83828,322.8
27.96661,317.42
28.09439,322.8
28.2222,322.8
28.35043,325.49
28.47809,309.35
28.59024,320.11
28.70205,328.18
28.81472,336.25
28.92692,320.11
29.03838,330.87
29.15025,317.42
29.27829,333.56
29.40658,312.04
29.51798,328.18
29.64615,333.56
29.75811,295.9
29.99847,320.11
30.11017,312.04
30.22198,312.04
30.33402,325.49
30.46238,333.56
30.57427,306.66
30.68616,325.49
30.7983,330.87
30.91018,322.8
31.02187,306.66
31.13421,320.11
31.26228,328.18
31.38998,306.66
31.51791,314.73
31.63039,328.18
31.74204,303.97
31.85372,330.87
31.96605,320.11
32.09433,161.4
32.20587,56.49
32.31776,0
32.42986,-13.45
32.547,-13.45
32.65411,-13.45
32.78197,-13.45
32.89395,-13.45
33.00586,-10.76
33.11776,-10.76
33.22983,-10.76
33.34184,-10.76
33.45378,-10.76
33.56578,-13.45
33.67769,-13.45
33.78977,-13.45
33.90179,-13.45
34.01387,-13.45
34.12606,-13.45
34.23776,-13.45
34.36609,-13.45
34.49399,-13.45
34.6224,-10.76
34.75003,-13.45
34.86194,-13.45
34.97388,-13.45
35.08581,-13.45
35.19789,-13.45
35.30996,-13.45
35.42163,-10.76
35.53407,-10.76
35.65083,-10.76
35.7577,-10.76
