time,torque servo4
0,0
0.0478534,0
0.17594,0.0039196
0.303902,0.0078392
0.431961,0.0078392
0.559771,0.0078392
0.687768,0.0078392
0.815728,0.0039196
0.943572,0.0039196
1.07185,0.0039196
1.21588,0.0039196
1.35995,0.0039196
1.50383,0.0039196
1.64774,0.0039196
1.79169,0.0039196
1.92006,0.0039196
2.04762,0.0039196
2.1919,0.0039196
2.31971,0.0039196
2.4477,0.0039196
2.57563,0.0039196
2.70388,0.0039196
2.83183,0.0039196
2.95974,0.0039196
3.08835,0.0039196
3.21631,0.0039196
3.34392,0.0039196
3.47201,0.0039196
3.6005,0.0039196
3.7279,0.0039196
3.85605,0.0039196
3.99957,0.0039196
4.14359,0.0039196
4.28753,0.0039196
4.43149,0
4.57568,0
4.71962,0
4.86463,0
5.00797,0
5.15248,0
5.29554,0
5.43989,0
5.58407,0
5.72797,0
5.87216,0
6.01627,0
6.16036,0
6.30419,0
6.44739,0
6.59181,0.0705528
6.73597,0.184221
6.88057,0.360603
7.02362,0.564422
7.1679,0.732965
7.3114,0.925025
7.45615,1.06221
7.59986,1.13276
7.74391,0.987739
7.88741,1.0191
8.03182,1.15236
8.17541,1.00734
8.31993,1.01126
8.4633,1.08573
8.60737,1.03477
8.75225,1.02302
8.89581,1.04653
9.0401,1.03085
9.18411,1.00342
9.32869,1.10925
9.4714,1.04261
9.61569,1.00342
9.75898,1.18764
9.88699,1.04653
10.0315,0.999498
10.16,1.12101
10.3035,1.05829
10.4477,1.03477
10.5911,1.07397
10.7368,1.08573
10.8795,0.97598
11.0236,1.07397
11.1677,1.12884
11.3113,1.00342
11.4551,1.06613
11.5997,1.08573
11.7436,0.987739
11.8874,1.11709
12.0316,1.07397
12.1754,1.00342
12.32,1.04261
12.4634,1.05437
12.6071,0.9799
12.7526,1.05829
12.8956,1.12492
13.0395,0.97598
13.1837,1.10533
13.3273,1.07005
13.471,0.987739
13.6151,1.08573
13.9191,0.97598
14.0636,1.23546
14.2075,0.865447
14.3516,1.00028
14.4951,1.06064
14.6393,1.05202
14.7836,1.06064
14.9279,0.931297
15.0711,1.01753
15.2154,1.03477
15.3588,0.957166
15.5036,0.983035
15.6468,1.08651
15.7917,0.965789
15.9346,1.00028
16.0631,1.05202
16.1915,0.948543
16.3198,1.00028
16.4476,1.0434
16.5908,0.991659
16.7347,1.00028
16.8788,1.06927
17.0232,0.983035
17.1669,1.00028
17.3112,0.991659
17.4552,1.03477
17.5993,1.02615
17.7431,0.965789
17.8869,1.03477
18.0311,1.0089
18.1747,0.91405
18.3187,1.03477
18.4626,1.06064
18.6072,0.948543
18.7509,1.02615
18.8946,1.00028
19.0393,0.983035
19.1831,1.01753
19.3268,1.02615
19.4709,1.0434
19.6151,1.01753
19.7585,0.957166
19.903,1.0089
20.0472,1.03477
20.191,0.93992
20.3345,0.758834
20.4786,0.38804
20.6225,0.0517387
20.7663,-0.0039196
20.9103,0
21.2148,0
21.3584,0.0117588
21.5028,0.0078392
21.6464,0.0078392
21.7906,0.0078392
21.9348,0.0078392
22.0784,0.0078392
22.223,0.0078392
22.3672,0.0078392
22.5105,0.0078392
22.6553,0.0078392
22.7987,0.0078392
22.9431,0.0078392
23.087,0.0078392
23.2312,0.0078392
23.3753,0.0039196
23.519,0.0039196
23.6632,0.0039196
23.8071,0.0039196
23.951,0.0039196
24.0953,0.0039196
24.2383,0.0039196
24.3828,0.0039196
24.527,0.0039196
24.6706,0
24.8147,0
24.9666,0
25.1029,0
25.2466,0
25.3909,0
25.5349,0
25.6781,0
25.8223,0
25.95,0.0039196
26.0943,0.0039196
26.2381,0.0039196
26.3823,0.0039196
26.5267,0.0039196
26.6705,0.0039196
26.8144,0.0039196
26.9587,0.0039196
27.103,0.0039196
27.246,0.0039196
27.3904,0.0039196
27.5351,0.0039196
27.6784,0.0078392
27.8231,0.0078392
27.9668,0.0039196
28.111,0.0078392
28.2547,0.0078392
28.5589,0
28.7027,0
28.8463,0
28.9906,0
29.1346,0
29.278,0
29.4064,0
29.5347,0
29.6625,0
29.7905,0
29.9183,0
30.0459,0
30.1746,0
30.3026,0
30.4302,0
30.5581,0
30.6866,0
30.8143,0
30.9423,0
31.086,0
31.214,0
31.358,0
31.502,0
31.646,0
31.7899,0
31.9337,0
32.0779,0
32.2222,0
32.3665,0
32.5103,0
32.6556,0
32.7983,0
32.9418,0
33.0858,0
33.2301,0
33.3738,0
33.5192,0
33.6618,0
33.8376,0
33.966,0
34.094,0
34.2219,0
34.3501,0
34.4936,0
34.6217,0
34.7495,0
34.8774,0
35.1815,0
35.31,0
35.4376,0
35.8856,0
36.0296,0
36.1733,0
36.3016,0
36.4297,0
36.558,0
36.7013,0
36.8453,0
36.9732,0
37.1013,0
37.2301,0
37.3574,0
37.5022,0
37.6454,0
37.7893,0
37.9175,0
38.0459,0
38.1733,0
38.3016,0
38.4297,0
38.558,0
38.686,0
38.8137,0
38.9417,-0.0078392
39.0852,-0.0078392
39.2298,-0.0039196
39.3733,-0.0078392
39.5174,-0.0078392
39.646,-0.0039196
39.7734,-0.0078392
39.9019,-0.0078392
40.0299,-0.0078392
40.1577,-0.0078392
40.2862,-0.0078392
40.4132,-0.0078392
40.5411,-0.0078392
40.6699,-0.0078392
40.798,-0.0078392
40.9412,-0.0078392
41.085,-0.0117588
41.2139,-0.0078392
41.3421,-0.0039196
41.4693,-0.0039196
41.5978,-0.0039196
41.7257,-0.0039196
41.8538,-0.0039196
41.981,-0.0039196
42.1258,-0.0039196
42.2531,-0.0039196
42.3809,-0.0039196
42.5089,-0.0039196
