time,torque servo4
0,0
0.0478197,-0.274372
0.175562,-1.0724
0.320194,-1.4675
0.4639,-1.12101
0.591691,-1.00342
0.71906,-0.995578
0.847718,-0.983819
0.975438,-1.15236
1.11973,-0.968141
1.24728,-0.960302
1.39132,-1.22683
1.53627,-0.948543
1.67923,-1.01518
1.80722,-1.07397
1.93517,-1.0191
2.06356,-0.987739
2.19152,-1.11317
2.33523,-1.01518
2.46372,-0.944623
2.59116,-1.15236
2.7359,-0.968141
2.87961,-0.968141
3.00693,-1.21508
3.13493,-0.952463
3.27945,-0.97598
3.40783,-1.09357
3.55165,-0.995578
3.69559,-0.9799
3.82346,-1.11709
3.96807,-1.02302
4.11133,-0.968141
4.23909,-1.21116
4.38381,-0.956382
4.5108,-0.9799
4.6557,-1.99429
4.79981,-0.948543
4.92752,-1.03085
5.07269,-1.0191
5.19939,-0.987739
5.34322,-0.995578
5.48798,-1.1602
5.6322,-0.944623
5.7591,-1.0191
5.88701,-2.01938
6.01555,-0.991659
6.14288,-0.964221
6.28718,-1.219
6.43143,-0.940704
6.55888,-1.01518
6.70333,-1.06613
6.8311,-1.00734
6.95888,-0.972061
7.10364,-1.09749
7.24718,-0.987739
7.37489,-0.952463
7.5199,-1.1994
7.66315,-0.972061
7.79122,-0.964221
7.93544,-1.19548
8.07959,-0.987739
8.20726,-0.987739
8.35198,-1.13276
8.49536,-1.01126
8.62277,-0.97598
8.76773,-1.07005
8.89558,-1.05437
9.02332,-0.97598
9.16792,-1.12492
9.29515,-1.17588
9.42257,-0.917186
9.56735,-1.17588
9.69538,-1.1994
9.82249,-0.913267
9.95084,-1.10533
10.0951,-1.05045
10.2232,-0.952463
10.3511,-1.02302
10.4952,-1.12101
10.6392,-0.940704
10.7831,-1.12884
10.911,-1.05829
11.0394,-0.944623
11.1665,-1.13668
11.295,-1.11317
11.4231,-0.936784
11.5506,-1.06613
11.6946,-1.09357
11.8231,-0.9799
11.9668,-1.03085
12.0948,-1.21116
12.2397,-0.928945
12.3828,-1.16412
12.5104,-1.05045
12.6391,-0.983819
12.7828,-1.1406
12.9108,-1.03085
13.0391,-0.952463
13.1667,-1.05045
13.439,-0.972061
13.5832,-1.27309
13.7112,-0.965789
13.8384,-0.671035
13.9829,-1.08651
14.1109,-1.06064
14.2393,-1.08651
14.3663,-1.10376
14.4943,-1.01753
14.6391,-1.08651
14.7667,-1.06064
14.8945,-1.0089
15.0225,-1.09514
15.1671,-1.07789
15.3111,-1.01753
15.4543,-1.01753
15.5991,-1.08651
15.7423,-1.00028
15.8872,-1.06064
16.0301,-1.07789
16.1581,-1.06064
16.2862,-1.07789
16.4143,-1.06927
16.5423,-1.09514
16.6865,-1.03477
16.8311,-1.10376
16.9583,-1.06927
17.1031,-0.983035
17.2308,-1.07789
17.3742,-1.06064
17.5028,-0.983035
17.6461,-1.05202
17.7746,-1.09514
17.92,-1.01753
18.0626,-1.05202
18.1909,-1.07789
18.3188,-1.06927
18.4626,-0.983035
18.5908,-1.06927
18.7361,-1.03477
18.8627,-0.974412
19.0065,-1.06064
19.1347,-1.0434
19.2626,-0.965789
19.3915,-1.02615
19.5348,-1.06064
19.6624,-1.06927
19.7898,-0.983035
19.9342,-1.0089
20.0788,-1.05202
20.3825,-1.09514
20.5108,-1.13512
20.6384,-1.48004
20.7823,-1.85005
20.9103,-1.05437
21.0389,-1.07789
21.166,-0.9799
21.2938,-1.17588
21.4218,-1.06613
21.55,-0.948543
21.6938,-1.20724
21.822,-1.1798
21.9501,-0.9799
22.0778,-1.12492
22.2219,-1.08965
22.3498,-1.03085
22.4779,-1.00734
22.6063,-1.24251
22.7503,-0.968141
22.878,-0.987739
23.0065,-2.03192
23.1342,-1.09749
23.2621,-0.968141
23.4066,-1.08573
23.5344,-1.03085
23.678,-0.952463
23.8064,-1.1406
23.9505,-1.01518
24.078,-0.964221
24.2065,-1.19156
24.3505,-0.983819
24.4943,-1.01126
24.6381,-1.23075
24.7822,-0.964221
24.9257,-1.02693
25.0542,-1.09749
25.1823,-1.01518
25.3257,-1.00342
25.4541,-1.23467
25.5815,-0.983819
25.7256,-1.0191
25.87,-1.08965
26.0144,-0.952463
26.1575,-1.11317
26.3019,-1.06221
26.4464,-0.940704
26.5899,-1.06613
26.7352,-1.06613
26.8777,-0.983819
27.0222,-1.10533
27.3258,-0.960302
27.4702,-1.27309
27.6143,-0.928161
27.7577,-0.677307
27.9024,-1.10376
28.0456,-0.948543
28.1899,-1.12101
28.3339,-1.09514
28.4779,-1.08651
28.6217,-1.11238
28.7656,-1.11238
28.9095,-1.02615
29.0537,-1.11238
29.1978,-1.06927
29.3423,-1.02615
29.4862,-1.09514
29.63,-1.08651
29.7758,-1.02615
29.9177,-1.07789
30.0617,-1.12963
30.2057,-1.0434
30.3505,-1.10376
30.4936,-1.07789
30.6385,-1.0434
30.7816,-1.09514
30.9254,-1.09514
31.0692,-1.0089
31.2134,-1.03477
31.3578,-1.06927
31.5018,-0.974412
31.6458,-1.07789
31.79,-1.0434
31.9339,-1.02615
32.0779,-1.09514
32.2217,-1.10376
32.3659,-1.01753
32.5093,-1.03477
32.653,-1.08651
32.797,-1.01753
32.9413,-1.07789
33.0852,-1.06927
33.2131,-1.01753
33.3412,-0.974412
33.4692,-1.0434
33.5977,-1.03477
33.7413,-1.03477
33.8854,-1.09514
34.0293,-1.12963
34.1729,-1.00028
34.3173,-1.03477
34.621,-0.93992
34.7654,-1.0434
34.9092,-1.07789
35.0531,-0.974412
35.1975,-1.07789
35.3411,-1.03477
35.4854,-0.965789
35.6296,-1.08651
35.7734,-1.11238
35.9178,-1.10376
36.0609,-1.07789
36.2055,-1.08651
36.3492,-1.06064
36.4938,-1.06927
36.6375,-1.09514
36.7808,-1.05202
36.9251,-1.09514
37.0696,-1.06064
37.2134,-1.08651
37.3576,-1.02615
37.5012,-1.02615
37.6449,-1.07789
37.7888,-0.991659
37.9332,-1.10376
38.0768,-1.11238
38.2208,-1.03477
38.3647,-1.13825
38.5094,-1.09514
38.6534,-0.991659
38.7976,-1.05202
38.9415,-1.08651
39.0858,-1.01753
39.2288,-1.08651
39.373,-1.09514
39.5167,-1.0089
39.6608,-1.12101
39.8049,-1.10376
39.9495,-1.06064
40.0928,-1.11238
40.2374,-1.11238
40.381,-1.09514
40.5251,-1.11238
40.6694,-1.08651
40.8124,-1.0434
40.9563,-1.12101
41.1009,-1.12963
41.2454,-1.0089
41.3893,-1.08651
41.5329,-1.12101
41.677,-1.05202
41.8217,-1.13825
