time,current servo1
0,0
0.0316485,0
0.1435472,51.11
0.2559151,45.73
0.3671818,48.42
0.4791827,51.11
0.591384,147.95
0.7032194,169.47
0.8153015,169.47
0.9272536,161.4
1.039406,153.33
1.151231,161.4
1.263412,174.85
1.375313,177.54
1.487164,156.02
1.599899,153.33
1.71137,161.4
1.823378,172.16
1.935176,169.47
2.047483,172.16
2.159733,161.4
2.271176,166.78
2.383643,150.64
2.495692,158.71
2.607571,169.47
2.719222,177.54
2.831849,156.02
2.943705,158.71
3.055447,161.4
3.167167,174.85
3.279222,169.47
3.391191,166.78
3.502991,172.16
3.615116,158.71
3.727482,150.64
3.839073,158.71
3.951597,174.85
4.063523,177.54
4.176102,164.09
4.28708,161.4
4.399493,164.09
4.511231,166.78
4.623863,161.4
4.735971,172.16
4.847417,169.47
4.959625,156.02
5.071591,153.33
5.183673,153.33
5.29571,158.71
5.407444,150.64
5.519185,156.02
5.631674,156.02
5.743633,158.71
5.855127,142.57
5.96699,150.64
6.078998,161.4
6.191519,161.4
6.303144,150.64
6.414901,156.02
6.527612,153.33
6.639094,161.4
6.751719,156.02
6.863499,153.33
6.975583,156.02
7.103001,158.71
7.230968,153.33
7.359691,147.95
7.486848,158.71
7.615396,156.02
7.742834,147.95
7.854928,158.71
7.983763,161.4
8.11072,156.02
8.238841,169.47
8.366923,158.71
8.479461,153.33
8.591157,147.95
8.718917,161.4
8.830949,158.71
8.943131,158.71
9.071309,164.09
9.182769,166.78
9.295339,166.78
9.407213,164.09
9.518925,161.4
9.631395,169.47
9.758931,174.85
9.870641,161.4
9.982763,166.78
10.09554,169.47
10.20679,166.78
10.31881,156.02
10.43075,172.16
10.54252,172.16
10.65532,166.78
10.76664,158.71
10.87869,161.4
10.99068,161.4
11.10267,161.4
11.35944,172.16
11.48651,37.66
11.59883,24.21
11.72678,26.9
11.85535,26.9
11.98259,26.9
12.11146,26.9
12.23888,24.21
12.36698,24.21
12.49506,24.21
12.62264,24.21
12.7506,24.21
12.87881,26.9
13.00658,24.21
13.13498,24.21
13.26274,21.52
13.39115,21.52
13.51854,24.21
13.64688,24.21
13.77483,21.52
13.90263,21.52
14.03066,24.21
14.15837,24.21
14.28652,21.52
14.41654,24.21
14.54285,24.21
14.67043,21.52
14.79895,24.21
14.92669,21.52
15.0557,21.52
15.18291,24.21
15.31052,24.21
15.43862,24.21
15.56636,24.21
15.69487,24.21
15.82246,24.21
15.95028,24.21
16.07844,26.9
16.20707,26.9
16.33448,26.9
16.46231,24.21
16.59064,24.21
16.71842,26.9
16.8462,26.9
16.97468,26.9
17.10235,26.9
17.23067,26.9
17.35874,24.21
17.48651,26.9
17.61471,26.9
17.88654,24.21
18.01461,134.5
18.14269,169.47
18.27052,158.71
18.39821,158.71
18.52627,156.02
18.65405,150.64
18.7822,158.71
18.9101,153.33
19.02215,145.26
19.13399,150.64
19.26249,156.02
19.39008,147.95
19.50205,150.64
19.63056,164.09
19.74244,156.02
19.8541,142.57
19.9666,145.26
20.07813,158.71
20.1902,153.33
20.30208,147.95
20.43002,150.64
20.55801,158.71
20.68662,156.02
20.81406,142.57
20.94264,156.02
21.07035,156.02
21.19846,137.19
21.32634,153.33
21.45441,158.71
21.58197,147.95
21.71025,142.57
21.83841,158.71
21.9661,156.02
22.07823,147.95
22.19013,153.33
22.30194,158.71
22.4301,158.71
22.55828,142.57
22.68595,150.64
22.79815,161.4
22.91003,147.95
23.03791,153.33
23.16584,169.47
23.29397,166.78
23.42198,158.71
23.54981,158.71
23.6778,169.47
23.80581,161.4
23.93362,153.33
24.20552,158.71
24.31815,40.35
24.43013,21.52
24.55763,24.21
24.66985,26.9
24.78208,24.21
24.89408,26.9
25.00637,26.9
25.11809,26.9
25.23021,24.21
25.34176,26.9
25.4536,24.21
25.56572,21.52
25.67823,21.52
25.79007,24.21
25.90169,21.52
26.01391,21.52
26.12584,21.52
26.23799,24.21
26.35013,21.52
26.46214,21.52
26.57393,24.21
26.68579,24.21
26.79772,21.52
26.91023,18.83
27.02159,21.52
27.13358,21.52
27.24562,21.52
27.35762,24.21
27.46972,24.21
27.58187,24.21
27.69374,24.21
27.8056,24.21
27.9181,24.21
28.03012,21.52
28.14145,24.21
28.25413,24.21
28.36601,24.21
28.47746,24.21
28.58964,24.21
28.70131,24.21
28.8139,24.21
28.94169,24.21
29.06951,24.21
29.19813,24.21
29.32538,24.21
29.4535,24.21
29.58163,24.21
29.70947,26.9
29.82151,21.52
30.06191,24.21
30.17423,24.21
30.28534,24.21
30.39728,24.21
30.50989,26.9
30.6216,21.52
30.7338,24.21
30.84542,24.21
30.95796,24.21
31.06934,21.52
31.182,24.21
31.29413,26.9
31.40575,24.21
31.51735,24.21
31.63004,24.21
31.74163,26.9
31.85343,24.21
31.98199,24.21
32.10953,24.21
32.23728,24.21
32.36552,21.52
32.49318,24.21
32.62128,21.52
32.73313,21.52
32.84532,21.52
32.95757,24.21
33.0693,21.52
33.18201,21.52
33.29334,21.52
33.40514,21.52
33.51709,21.52
33.62924,21.52
33.74179,-16.14
33.85307,-53.8
33.96517,-45.73
34.07735,-53.8
34.18973,-56.49
34.3014,-53.8
34.4133,-53.8
34.52561,-59.18
34.63793,-59.18
34.74985,-51.11
34.86132,-53.8
34.97392,-59.18
35.08531,-59.18
35.19708,-56.49
35.30907,-61.87
35.4211,-64.56
35.53305,-56.49
35.64501,-56.49
35.75763,-61.87
