time,current servo1
0,0
0.0320007,0
0.1440325,-29.59
0.2558736,-29.59
0.3677337,-32.28
0.4798474,-161.4
0.5918486,-153.33
0.7039214,-158.71
0.8319962,-156.02
0.9599477,-147.95
1.087639,-158.71
1.215977,-153.33
1.327671,-150.64
1.439669,-156.02
1.551744,-150.64
1.663832,-161.4
1.775841,-164.09
1.887881,-169.47
1.999916,-147.95
2.111747,-150.64
2.223933,-156.02
2.335787,-147.95
2.447829,-147.95
2.559813,-161.4
2.671873,-172.16
2.783654,-161.4
2.895659,-150.64
3.007623,-161.4
3.119597,-164.09
3.231606,-147.95
3.343746,-150.64
3.455954,-153.33
3.567791,-150.64
3.67987,-156.02
3.807709,-161.4
3.935718,-174.85
4.063756,-158.71
4.191758,-150.64
4.319695,-169.47
4.447722,-150.64
4.575853,-153.33
4.70383,-172.16
4.831657,-153.33
4.959674,-164.09
5.087694,-177.54
5.215599,-161.4
5.343463,-164.09
5.455725,-169.47
5.56733,-177.54
5.679361,-166.78
5.791692,-164.09
5.903557,-177.54
6.0155,-177.54
6.127436,-153.33
6.239532,-156.02
6.351304,-172.16
6.463517,-158.71
6.575677,-161.4
6.687545,-180.23
6.799711,-174.85
6.911431,-166.78
7.02362,-169.47
7.135316,-174.85
7.247453,-172.16
7.35939,-161.4
7.47159,-172.16
7.584093,-182.92
7.695515,-166.78
7.807461,-172.16
7.919299,-185.61
8.031361,-174.85
8.14353,-169.47
8.255301,-172.16
8.367421,-182.92
8.479296,-188.3
8.591365,-185.61
8.703417,-190.99
8.831368,-199.06
8.959386,-196.37
9.087246,-188.3
9.21528,-190.99
9.343181,-188.3
9.471229,-188.3
9.583227,-188.3
9.695176,-182.92
9.807249,-172.16
9.9192,-177.54
10.03122,-182.92
10.14318,-156.02
10.25501,-161.4
10.36719,-169.47
10.4793,-174.85
10.59136,-169.47
10.70317,-174.85
10.81515,-185.61
10.9272,-182.92
11.03915,-166.78
11.15113,-172.16
11.26319,-174.85
11.50317,-164.09
11.61655,-64.56
11.72753,-16.14
11.8391,-21.52
11.95105,-21.52
12.06319,-26.9
12.19149,-26.9
12.32155,-26.9
12.44723,-24.21
12.57493,-26.9
12.70346,-24.21
12.83119,-26.9
12.95894,-29.59
13.08712,-24.21
13.19904,-24.21
13.31075,-24.21
13.42289,-26.9
13.53478,-29.59
13.64669,-32.28
13.759,-26.9
13.87107,-29.59
13.98285,-29.59
14.09499,-32.28
14.20694,-32.28
14.31907,-32.28
14.44696,-34.97
14.57485,-34.97
14.68695,-32.28
14.81505,-32.28
14.94287,-32.28
15.07084,-32.28
15.19895,-29.59
15.32682,-32.28
15.45488,-32.28
15.56688,-32.28
15.6789,-34.97
15.79083,-37.66
15.90279,-32.28
16.01478,-29.59
16.13454,-32.28
16.25468,-32.28
16.36723,-29.59
16.47914,-32.28
16.59075,-32.28
16.70282,-32.28
16.81467,-26.9
16.92681,-29.59
17.03879,-32.28
17.15126,-34.97
17.26279,-29.59
17.50277,-29.59
17.615,-150.64
17.72672,-158.71
17.8393,-161.4
17.95122,-150.64
18.06351,-145.26
18.17501,-147.95
18.28736,-161.4
18.39863,-156.02
18.51141,-145.26
18.62303,-147.95
18.73461,-150.64
18.84734,-142.57
18.95928,-145.26
19.07104,-158.71
19.18341,-158.71
19.29536,-145.26
19.40722,-145.26
19.51853,-164.09
19.6306,-158.71
19.74271,-150.64
19.85473,-156.02
19.96741,-158.71
20.0784,-142.57
20.19121,-142.57
20.30242,-158.71
20.41481,-166.78
20.52704,-158.71
20.6393,-164.09
20.75121,-182.92
20.86325,-177.54
20.9752,-164.09
21.08644,-158.71
21.19889,-169.47
21.31113,-156.02
21.42292,-161.4
21.5345,-177.54
21.64643,-188.3
21.75888,-172.16
21.87075,-166.78
21.98295,-174.85
22.09442,-164.09
22.20649,-158.71
22.31841,-166.78
22.43076,-180.23
22.55841,-172.16
22.68661,-164.09
22.81475,-172.16
22.94238,-172.16
23.07025,-174.85
23.34268,-172.16
23.47051,-61.87
23.59825,-16.14
23.72637,-21.52
23.8547,-24.21
23.96694,-24.21
24.09492,-21.52
24.20609,-21.52
24.33532,-24.21
24.46213,-26.9
24.59005,-24.21
24.70235,-26.9
24.8148,-24.21
24.92634,-24.21
25.03828,-21.52
25.15029,-24.21
25.26216,-26.9
25.39051,-26.9
25.51821,-26.9
25.64634,-29.59
25.77487,-29.59
25.90251,-29.59
26.03034,-29.59
26.15859,-29.59
26.28611,-32.28
26.41486,-29.59
26.54338,-32.28
26.67056,-32.28
26.79851,-32.28
26.92621,-32.28
27.05493,-32.28
27.18207,-32.28
27.31008,-32.28
27.43845,-32.28
27.56618,-32.28
27.69448,-32.28
27.82193,-32.28
27.94999,-34.97
28.07813,-32.28
28.20658,-32.28
28.334,-32.28
28.46282,-34.97
28.59043,-32.28
28.71823,-32.28
28.8461,-34.97
28.97384,-29.59
29.10197,-29.59
29.23002,-32.28
29.35803,-29.59
29.48593,-29.59
29.758,-29.59
29.88599,-26.9
30.01449,-29.59
30.14221,-29.59
30.26981,-24.21
30.39825,-26.9
30.50996,-29.59
30.63775,-29.59
30.74988,-24.21
30.87796,-26.9
30.99041,-26.9
31.10171,-24.21
31.21366,-24.21
31.32563,-26.9
31.43766,-26.9
31.54966,-21.52
31.66209,-21.52
31.77411,-24.21
31.88581,-24.21
31.99776,-21.52
32.11047,-18.83
32.22246,-21.52
32.33542,-21.52
32.44613,-21.52
32.55788,-21.52
32.66954,-21.52
32.78156,-21.52
32.89382,-18.83
33.00648,-21.52
33.11755,-24.21
33.23031,-24.21
33.34217,-18.83
33.45442,-21.52
33.56589,-21.52
33.67842,-21.52
33.79035,-18.83
33.90158,-21.52
34.01449,-24.21
34.12625,-21.52
34.23825,-16.14
34.35149,-18.83
34.46198,-21.52
34.57382,-21.52
34.68558,-18.83
34.79764,-21.52
34.90973,-18.83
35.02168,-21.52
35.13408,-18.83
35.24608,-21.52
35.3577,-21.52
35.46968,-18.83
