time,currents servo1
0,0
0.0313271,0
0.14299,18.83
0.254791,16.14
0.367263,13.45
0.478562,13.45
0.590761,13.45
0.719082,10.76
0.847199,10.76
0.97513,13.45
1.08706,13.45
1.19883,10.76
1.31112,10.76
1.42304,10.76
1.53498,10.76
1.64677,13.45
1.75878,10.76
1.87075,5.38
1.98299,24.21
2.1111,10.76
2.23907,24.21
2.36692,21.52
2.49463,10.76
2.62289,8.07
2.73497,10.76
2.84686,10.76
2.95886,10.76
3.07212,10.76
3.18284,10.76
3.31091,10.76
3.439,8.07
3.56677,10.76
3.69483,13.45
3.82293,10.76
3.93487,10.76
4.04659,16.14
4.15883,13.45
4.27087,10.76
4.3828,13.45
4.49483,16.14
4.62295,16.14
4.73492,13.45
4.8465,13.45
4.95873,13.45
5.07093,13.45
5.18269,13.45
5.31088,16.14
5.43927,16.14
5.56699,13.45
5.69519,16.14
5.82303,16.14
5.93486,13.45
6.0465,13.45
6.15906,16.14
6.27092,16.14
6.3831,13.45
6.4945,16.14
6.60707,16.14
6.7184,16.14
6.84702,16.14
6.95879,18.83
7.07081,18.83
7.18303,18.83
7.29648,16.14
7.42232,18.83
7.53518,21.52
7.64626,18.83
7.75843,18.83
7.87057,18.83
7.9824,21.52
8.09501,18.83
8.20709,18.83
8.31912,21.52
8.44649,21.52
8.57425,21.52
8.68615,21.52
8.81433,21.52
8.94297,21.52
9.07116,21.52
9.19897,24.21
9.32671,24.21
9.43825,24.21
9.55105,24.21
9.66381,24.21
9.77431,24.21
9.8868,24.21
10.0143,24.21
10.1422,26.9
10.2707,24.21
10.3989,24.21
10.511,24.21
10.6227,24.21
10.7351,24.21
10.8465,24.21
10.9584,26.9
11.0709,26.9
11.183,26.9
11.311,26.9
11.439,29.59
11.7104,26.9
11.8386,24.21
11.9502,24.21
12.0621,26.9
12.1903,26.9
12.3183,26.9
12.4299,26.9
12.5582,26.9
12.6704,26.9
12.7823,26.9
12.8942,26.9
13.0066,26.9
13.1182,26.9
13.2301,26.9
13.3424,26.9
13.4541,26.9
13.5824,26.9
13.7105,26.9
13.8383,26.9
13.9663,26.9
14.0942,26.9
14.2063,26.9
14.3183,26.9
14.4302,26.9
14.5421,26.9
14.654,26.9
14.7662,26.9
14.8944,26.9
15.0226,26.9
15.1504,26.9
15.2621,26.9
15.3902,26.9
15.5019,26.9
15.614,26.9
15.7259,26.9
15.8382,26.9
15.9501,26.9
16.0622,26.9
16.1742,26.9
16.2859,26.9
16.3982,26.9
16.5101,26.9
16.6378,26.9
16.7501,26.9
16.862,26.9
16.9898,26.9
17.1181,26.9
17.2459,26.9
17.3579,26.9
17.4698,26.9
17.5816,26.9
17.6939,26.9
17.8059,26.9
17.918,26.9
18.0461,26.9
18.1738,26.9
18.3022,26.9
18.4297,26.9
18.5581,26.9
18.6702,26.9
18.782,26.9
18.894,26.9
19.0062,26.9
19.1182,26.9
19.2458,26.9
19.3736,26.9
19.502,26.9
19.6142,26.9
19.7262,26.9
19.838,26.9
19.9499,26.9
20.0781,26.9
20.2059,26.9
20.3339,26.9
20.4622,26.9
20.5899,26.9
20.702,26.9
20.8136,26.9
20.9259,26.9
21.0379,26.9
21.15,26.9
21.2621,26.9
21.374,26.9
21.4856,26.9
21.6135,26.9
21.7422,26.9
21.8698,26.9
21.9974,26.9
22.126,26.9
22.2374,26.9
22.3499,26.9
22.4621,26.9
22.5735,26.9
22.6855,26.9
22.7976,26.9
22.926,26.9
23.0538,26.9
23.1819,26.9
23.3098,26.9
23.4383,26.9
23.6777,26.9
23.7898,-37.66
23.9017,-24.21
24.0138,-21.52
24.1421,-21.52
24.2696,-21.52
24.3822,-21.52
24.4939,-18.83
24.6057,-18.83
24.7178,-18.83
24.8454,-18.83
24.9736,-16.14
25.1017,-18.83
25.2293,-18.83
25.3418,-16.14
25.4534,-18.83
25.5653,-18.83
25.6775,-18.83
25.7895,-16.14
25.9012,-16.14
26.0132,-18.83
26.1252,-16.14
26.2534,-16.14
26.3811,-16.14
26.5098,-16.14
26.6213,-16.14
26.734,-16.14
26.8456,-16.14
26.9573,-16.14
27.07,-16.14
27.1973,-13.45
27.3258,-13.45
27.4532,-13.45
27.5655,-16.14
27.6776,-16.14
27.7898,-13.45
27.9016,-13.45
28.0294,-16.14
28.1576,-13.45
28.2853,-13.45
28.4132,-16.14
28.5249,-13.45
28.6371,-13.45
28.7655,-13.45
28.8933,-13.45
29.0054,-13.45
29.1175,-13.45
29.2293,-13.45
29.3418,-13.45
29.4531,-10.76
29.5652,-13.45
29.6935,-13.45
29.8213,-10.76
29.9496,-10.76
30.0773,-13.45
30.1893,-10.76
30.3013,-13.45
30.4132,-13.45
30.525,-10.76
30.637,-10.76
30.7489,-10.76
30.8776,-10.76
31.0056,-10.76
31.1333,-10.76
31.2611,-13.45
31.3895,-8.07
31.5015,-10.76
31.6133,-13.45
31.7257,-10.76
31.8378,-10.76
31.9652,-10.76
32.0935,-10.76
32.2213,-10.76
32.3336,-10.76
32.4455,-13.45
32.5572,-10.76
32.6691,-10.76
32.7808,-13.45
32.9094,-13.45
33.038,-10.76
33.1655,-13.45
33.293,-13.45
33.4053,-13.45
33.5172,-13.45
33.6289,-13.45
33.7412,-13.45
33.8533,-13.45
33.9652,-13.45
34.077,-16.14
34.1892,-13.45
34.3015,-13.45
34.4287,-13.45
34.5415,-16.14
34.6532,-13.45
34.7651,-16.14
34.8772,-16.14
35.0056,-16.14
35.1166,-16.14
35.2288,-16.14
35.3408,-16.14
35.4532,-16.14
