time,currents servo1
0,0
0.0323925,685.95
0.1573992,45.73
0.2880097,0
0.4141466,5.38
0.5350517,0
0.6527838,0
0.7645857,0
0.8762929,0
0.9884055,2.69
1.116564,0
1.244681,0
1.372226,0
1.484315,2.69
1.596323,0
1.724321,0
1.852299,0
1.980251,0
2.092411,0
2.204232,0
2.31612,0
2.42831,0
2.540358,0
2.668016,0
2.796,0
2.908282,0
3.03603,0
3.164191,0
3.276149,2.69
3.404141,2.69
3.516598,0
3.628046,0
3.740627,0
3.852718,0
3.964057,0
4.076462,0
4.20401,0
4.332219,0
4.460326,0
4.587925,0
4.699951,2.69
4.827919,0
4.955872,0
5.067791,0
5.179939,0
5.292272,0
5.403925,0
5.515914,0
5.628073,0
5.739951,2.69
5.867815,0
5.995713,0
6.107772,0
6.219791,0
6.347851,0
6.459977,0
6.572058,0
6.683976,0
6.796047,0
6.907982,0
7.019863,2.69
7.132175,0
7.26002,2.69
7.372007,0
7.500195,0
7.61192,0
7.7242,0
7.835946,2.69
7.947808,0
8.060048,2.69
8.171985,0
8.283938,2.69
8.41196,0
8.523993,0
8.651756,0
8.764015,0
8.87584,0
8.987667,2.69
9.115918,0
9.244035,0
9.355575,2.69
9.467584,0
9.579549,0
9.691667,0
9.803776,0
9.9317,0
10.04383,0
10.15564,0
10.26825,0
10.39641,0
10.50745,0
10.63555,0
10.74767,0
10.86012,0
10.97152,0
11.08377,0
11.19576,0
11.30748,0
11.43565,0
11.54792,0
