time,currents servo1
0,0
0.0315034,0
0.1593351,10.76
0.2876814,8.07
0.4153334,10.76
0.5276916,10.76
0.6394493,10.76
0.7515365,10.76
0.8634095,8.07
0.9753669,10.76
1.087382,8.07
1.215331,8.07
1.343258,8.07
1.471217,8.07
1.583512,8.07
1.695189,8.07
1.807154,8.07
1.91914,8.07
2.031165,8.07
2.143449,8.07
2.255437,8.07
2.38351,8.07
2.495207,13.45
2.607552,147.95
2.735939,255.55
2.863155,400.81
2.975743,508.41
3.08795,607.94
3.199797,728.99
3.311653,726.3
3.424067,616.01
3.535249,661.74
3.663806,648.29
3.77571,694.02
3.887099,613.32
3.999408,626.77
4.111624,694.02
4.224004,645.6
4.351267,626.77
4.479618,634.84
4.607302,685.95
4.7354,680.57
4.847244,616.01
4.975481,683.26
5.103126,672.5
5.232941,610.63
5.343916,669.81
5.455855,696.71
5.567604,634.84
5.679528,597.18
5.7916,653.67
5.903379,715.54
6.031151,688.64
6.15895,613.32
6.287511,680.57
6.399552,648.29
6.527876,645.6
6.639445,645.6
6.751244,710.16
6.863177,616.01
6.975717,626.77
7.08784,739.75
7.199082,675.19
7.327867,661.74
7.454946,610.63
7.567191,650.98
7.69563,710.16
7.823259,621.39
7.934841,610.63
8.063372,737.06
8.191543,645.6
8.318977,632.15
8.431305,650.98
8.559602,648.29
8.671141,653.67
8.783575,618.7
8.894939,680.57
9.006967,715.54
9.118942,653.67
9.231551,613.32
9.343485,645.6
9.454804,707.47
9.568238,659.05
9.695417,632.15
9.807317,675.19
9.918757,675.19
10.03162,640.22
10.1432,626.77
10.25465,704.78
10.3669,661.74
10.49483,626.77
10.62294,634.84
10.73475,688.64
10.86275,653.67
10.97525,621.39
11.08753,677.88
11.21517,694.02
11.34275,637.53
11.47077,637.53
11.72695,667.12
11.83935,521.86
11.9505,392.74
12.06315,271.69
12.17543,290.52
12.28683,314.73
12.39922,325.49
12.52683,338.94
12.65536,322.8
12.76719,336.25
12.91109,325.49
13.03889,282.45
13.15251,282.45
13.27917,282.45
13.39147,282.45
13.50305,282.45
13.61511,282.45
13.72743,282.45
13.83916,282.45
13.96719,282.45
14.09496,282.45
14.2237,282.45
14.35056,282.45
14.479,282.45
14.59149,282.45
14.70264,282.45
14.81515,282.45
14.92684,282.45
15.03903,282.45
15.15051,282.45
15.27901,285.14
15.40722,328.18
15.51833,540.69
15.63096,457.3
15.74294,457.3
15.85486,457.3
15.9824,457.3
16.11122,457.3
16.23916,457.3
16.36729,454.61
16.47924,454.61
16.59098,449.23
16.70236,449.23
16.8147,449.23
16.92705,449.23
17.03828,449.23
17.15202,449.23
17.26278,449.23
17.37487,449.23
17.4868,449.23
17.59895,449.23
17.71086,449.23
17.82283,449.23
17.93564,449.23
18.04658,449.23
18.15915,449.23
18.27081,449.23
18.38298,449.23
18.49477,449.23
18.60641,449.23
18.71853,449.23
18.83095,449.23
18.94265,449.23
19.05425,449.23
19.18254,449.23
19.31071,449.23
19.43888,449.23
19.56634,449.23
19.67878,449.23
19.79072,449.23
19.90216,449.23
20.01452,449.23
20.12677,449.23
20.23838,449.23
20.35093,449.23
20.46293,449.23
20.57401,449.23
20.70221,449.23
20.83085,449.23
20.95912,449.23
21.08659,449.23
21.21482,449.23
21.34269,449.23
21.45499,449.23
21.56687,449.23
21.67876,449.23
21.79074,449.23
21.9185,449.23
22.04667,449.23
22.1746,449.23
22.3023,449.23
22.43053,449.23
22.54282,449.23
22.6539,449.23
22.76591,449.23
22.87863,449.23
22.99062,449.23
23.10244,449.23
23.23039,449.23
23.35841,449.23
23.598,449.23
23.71066,285.14
23.82279,269
23.95061,344.32
24.07859,317.42
24.20678,333.56
24.33416,330.87
24.44632,322.8
24.5584,312.04
24.67039,328.18
24.79867,322.8
24.91037,298.59
25.02259,306.66
25.13414,325.49
25.24582,298.59
25.35824,328.18
25.47006,344.32
25.58214,330.87
25.71042,312.04
25.83866,333.56
25.96716,330.87
26.07811,317.42
26.18986,309.35
26.3019,320.11
26.41425,328.18
26.52563,287.83
26.63861,303.97
26.75056,317.42
26.87859,312.04
26.99057,312.04
27.11783,325.49
27.24561,336.25
27.37405,306.66
27.4864,314.73
27.61408,322.8
27.72622,306.66
27.83847,317.42
27.95052,338.94
28.06183,333.56
28.17363,287.83
28.28554,301.28
28.39762,317.42
28.50994,306.66
28.62183,306.66
28.75044,317.42
28.87815,333.56
29.00571,312.04
29.13387,325.49
29.2456,344.32
29.35826,306.66
29.47004,314.73
29.58202,320.11
29.69399,328.18
29.80609,290.52
29.93371,303.97
30.0615,320.11
30.1899,301.28
30.31755,301.28
30.44551,322.8
30.55832,312.04
30.67027,217.89
30.78193,121.05
30.90988,32.28
31.02195,0
31.14984,0
31.27749,0
31.38976,0
31.50166,0
31.61381,0
31.72561,0
31.83767,-2.69
31.96584,-2.69
32.09343,-2.69
32.22211,0
32.35011,-2.69
32.47789,-2.69
32.60599,-2.69
32.73416,-2.69
32.8619,-2.69
32.97421,-2.69
33.08529,-2.69
33.19777,-2.69
33.30907,0
33.42115,-2.69
33.53427,-2.69
33.66172,-5.38
33.78929,-5.38
33.91738,-2.69
34.02981,-2.69
34.14151,-2.69
34.25372,-2.69
34.36586,-2.69
34.47711,-2.69
34.5898,-5.38
34.70126,-2.69
34.82934,-2.69
34.95764,-2.69
35.08568,-2.69
35.21302,-2.69
35.34187,-2.69
35.45359,0
