time,torque servo3
0,0
0.0481169,0.50798
0.17604,0.0744724
0.431786,0.0509548
0.815733,0.058794
0.959922,0.0627136
1.10379,0.0705528
1.31174,0.0705528
1.45583,0.0431156
1.5997,0.0627136
1.72789,0.0666332
1.85565,0.0548744
1.98392,0.0509548
2.11191,0.0627136
2.23969,0.0666332
2.36788,0.0627136
2.49597,0.0470352
2.6239,0.0705528
2.75157,0.0666332
2.89594,0.0431156
3.03986,0.0352764
3.18375,0.0548744
3.31151,0.039196
3.43985,0.0352764
3.56782,0.0509548
3.69562,0.0509548
3.82367,0.0509548
3.95186,0.0431156
4.07975,0.0470352
4.20784,0.0509548
4.35183,0.0509548
4.49598,0.039196
4.63959,0.058794
4.76767,0.0548744
4.89585,0.0470352
5.02346,0.0431156
5.15172,0.0627136
5.27963,0.0548744
5.4077,0.0509548
5.53564,0.0509548
5.66339,0.0431156
5.79152,0.0548744
5.91958,0.0470352
6.04774,0.0431156
6.1915,0.0548744
6.33556,0.0470352
6.47933,0.0352764
6.60766,0.0470352
6.73552,0.0470352
6.86352,0.039196
6.99158,0.0352764
7.11958,0.0470352
7.24753,0.0509548
7.37562,0.0470352
7.50364,0.0470352
7.63161,0.0431156
7.77562,0.0470352
7.91933,0.0431156
8.0635,0.039196
8.1912,0.0509548
8.31961,0.039196
8.44744,0.039196
8.5756,0.0431156
8.70347,0.0509548
8.83126,0.0470352
8.95946,0.0352764
9.08737,0.0431156
9.21528,0.0509548
9.34406,0.0470352
9.47169,0.0431156
9.5993,0.039196
9.72738,0.039196
9.85543,0.0627136
9.98339,0.0548744
10.1115,0.0470352
10.2555,0.0470352
10.3833,0.0509548
10.5281,0.0352764
10.6717,0.0509548
10.8154,0.0548744
10.9597,0.0431156
11.1034,0.0666332
11.2473,0.0548744
11.3917,0.0627136
11.5357,0.058794
11.6797,0.0352764
11.8232,0.0431156
11.9674,0.0548744
12.1113,0.0431156
12.2554,0.058794
12.3993,0.0431156
12.5432,0.0627136
12.6872,0.0627136
12.8312,0.0509548
12.9754,0.0548744
13.1191,0.0509548
13.2472,0.039196
13.3752,0.0470352
13.5036,0.058794
13.6311,0.058794
