time,torque servo3
0,0
0.0473654,-0.564422
0.175132,-0.10191
0.303292,-0.0940704
0.43112,-0.0940704
0.559712,-0.09799
0.687611,-0.0901508
0.815085,-0.0823116
0.943695,-0.0901508
1.07153,-0.0862312
1.19909,-0.0940704
1.32701,-0.0862312
1.45494,-0.0862312
1.58285,-0.0901508
1.7112,-0.0940704
1.83907,-0.10191
1.98296,-0.0940704
2.12776,-0.0862312
2.27111,-0.0862312
2.41496,-0.0940704
2.55916,-0.0823116
2.68724,-0.0823116
2.81482,-0.0901508
2.9432,-0.10191
3.07127,-0.105829
3.1991,-0.0901508
3.32807,-0.0862312
3.45578,-0.09799
3.583,-0.0940704
3.71184,-0.09799
3.83931,-0.0862312
3.96707,-0.0901508
4.09498,-0.0901508
4.22316,-0.09799
4.35134,-0.10191
4.47875,-0.0940704
4.6076,-0.0901508
4.73528,-0.0901508
4.86305,-0.0901508
4.99091,-0.0940704
5.1354,-0.0901508
5.26324,-0.0823116
5.39132,-0.0940704
5.51923,-0.0901508
5.647,-0.10191
5.7755,-0.09799
5.90298,-0.0823116
6.03066,-0.0901508
6.1597,-0.0940704
6.28693,-0.0940704
6.41467,-0.0823116
6.54273,-0.0862312
6.67086,-0.10191
6.79887,-0.10191
6.92778,-0.10191
7.05495,-0.0940704
7.18282,-0.09799
7.3116,-0.105829
7.4395,-0.0940704
7.56681,-0.0940704
7.69459,-0.0862312
7.82343,-0.0862312
7.95142,-0.0940704
8.07894,-0.09799
8.20709,-0.0940704
8.33456,-0.0940704
8.46258,-0.0862312
8.59095,-0.0940704
8.71867,-0.0823116
8.84664,-0.0862312
8.97453,-0.0823116
9.1029,-0.078392
9.23052,-0.0862312
9.35879,-0.0862312
9.48653,-0.09799
9.63053,-0.0862312
9.77443,-0.0862312
9.91886,-0.0940704
10.0625,-0.0940704
10.2072,-0.0862312
10.3503,-0.0823116
10.4948,-0.0901508
10.6386,-0.0901508
10.7663,-0.0940704
10.895,-0.0862312
11.0222,-0.0862312
11.1503,-0.0940704
11.2783,-0.0862312
11.4064,-0.0940704
11.5344,-0.0823116
11.6623,-0.0862312
11.7903,-0.0901508
11.9343,-0.0901508
12.0783,-0.0901508
12.2223,-0.0823116
12.3502,-0.0862312
12.4786,-0.0901508
12.6066,-0.0940704
12.7346,-0.0862312
12.8625,-0.078392
