time,torque servo3
0,0
0.0478557,0.520523
0.175852,0.0744724
0.303871,0.078392
0.431908,0.0705528
0.559912,0.0705528
0.68771,0.0666332
0.815887,0.0666332
0.959785,0.0627136
1.10383,0.058794
1.24765,0.0627136
1.39169,0.0666332
1.5358,0.0509548
1.67984,0.078392
1.82376,0.0744724
1.96777,0.078392
2.1117,0.0901508
2.25571,0.078392
2.39965,0.0744724
2.54364,0.0823116
2.67178,0.0705528
2.79952,0.0823116
2.92756,0.0862312
3.05563,0.0862312
3.1837,0.078392
3.31165,0.0705528
3.43954,0.0901508
3.56771,0.0901508
3.69545,0.0744724
3.82379,0.0470352
3.95174,0.0509548
4.07973,0.0666332
4.20909,0.0744724
4.33627,0.0548744
4.46358,0.058794
4.59146,0.0627136
4.71954,0.0705528
4.84775,0.0548744
4.9755,0.0548744
5.10355,0.0627136
5.23144,0.0744724
5.35937,0.0627136
5.50362,0.0548744
5.6479,0.0666332
5.7915,0.078392
5.93595,0.0705528
6.07951,0.0823116
6.20822,0.0744724
6.35199,0.0666332
6.49548,0.0744724
6.64017,0.0548744
6.78395,0.0548744
6.92744,0.0627136
7.07174,0.0627136
7.21547,0.0705528
7.35939,0.0627136
7.50346,0.058794
7.64734,0.0627136
7.79177,0.058794
7.93556,0.058794
8.07929,0.058794
8.22343,0.0548744
8.36741,0.0627136
8.51135,0.0627136
8.65581,0.0666332
8.7994,0.0666332
8.94332,0.058794
9.09113,0.058794
9.23135,0.0548744
9.37543,0.0548744
9.5195,0.0627136
9.66323,0.0627136
9.80786,0.0666332
9.95132,0.0627136
10.0952,0.0548744
10.2396,0.0627136
10.3832,0.058794
10.5273,0.058794
10.6714,0.0705528
10.8152,0.0666332
10.9592,0.0666332
11.1035,0.0666332
11.2472,0.0509548
11.3914,0.0744724
11.5352,0.0627136
11.6791,0.0627136
11.8233,0.0705528
11.9671,0.0627136
12.111,0.0862312
12.2553,0.078392
12.3993,0.0666332
12.5431,0.0940704
12.6872,0.0705528
12.8311,0.0666332
12.9754,0.0823116
13.1192,0.0627136
13.263,0.0705528
13.4073,0.0744724
13.551,0.0666332
13.6949,0.0744724
