time,torque servo3
0,0
0.0468684,-0.55188
0.175109,-0.105829
0.302999,-0.113668
0.431088,-0.109749
0.559101,-0.10191
0.687175,-0.09799
0.814963,-0.105829
0.942997,-0.117588
1.0712,-0.109749
1.19908,-0.10191
1.32714,-0.09799
1.47088,-0.09799
1.61501,-0.10191
1.7591,-0.0940704
1.9028,-0.10191
2.04675,-0.10191
2.19071,-0.109749
2.33497,-0.105829
2.47916,-0.0940704
2.62268,-0.10191
2.76696,-0.0940704
2.91102,-0.10191
3.05508,-0.0901508
3.19868,-0.09799
3.34315,-0.105829
3.48699,-0.109749
3.63082,-0.09799
3.77498,-0.0940704
3.91893,-0.10191
4.06267,-0.113668
4.20738,-0.105829
4.351,-0.109749
4.49471,-0.10191
4.63889,-0.105829
4.78283,-0.117588
4.92678,-0.109749
5.05504,-0.0940704
5.18278,-0.105829
5.31082,-0.113668
5.45522,-0.10191
5.59876,-0.0940704
5.74317,-0.105829
5.87073,-0.105829
6.01473,-0.113668
6.1587,-0.113668
6.30261,-0.109749
6.44651,-0.113668
6.59066,-0.10191
6.73458,-0.105829
6.87879,-0.109749
7.02252,-0.113668
7.16682,-0.113668
7.29483,-0.125427
7.42284,-0.109749
7.55076,-0.105829
7.67907,-0.10191
7.80706,-0.105829
7.93459,-0.109749
8.06297,-0.0901508
8.19093,-0.0940704
8.31858,-0.10191
8.44624,-0.117588
8.57492,-0.117588
8.70321,-0.109749
8.8306,-0.0940704
8.95863,-0.105829
9.08692,-0.10191
9.21457,-0.10191
9.34288,-0.0901508
9.47049,-0.0901508
9.59853,-0.09799
9.72684,-0.0940704
9.85438,-0.109749
9.98244,-0.105829
10.111,-0.09799
10.2388,-0.09799
10.3663,-0.0940704
10.4947,-0.10191
10.6229,-0.10191
10.7505,-0.0940704
10.8784,-0.10191
11.0068,-0.105829
11.1344,-0.113668
11.2629,-0.105829
11.3907,-0.0940704
11.5183,-0.09799
11.6461,-0.105829
11.7749,-0.10191
11.9023,-0.09799
12.0302,-0.0901508
12.1583,-0.09799
12.2866,-0.09799
12.4141,-0.105829
12.5423,-0.09799
12.6702,-0.09799
12.7983,-0.09799
12.9266,-0.0940704
13.0546,-0.0940704
13.1822,-0.0901508
